REF_SITE_FROM_ID,REF_SITE_TO_ID,season,INJSVR,DOCTNMBR
10464,1661744,summer,O,1
1661884,1661805,winter,A,1
1661887,1661805,summer,O,1
1662001,1662000,summer,O,1
1662003,1662001,fall,B,1
1662149,1662070,fall,O,1
1662121,10503,fall,O,1
1662179,1662178,fall,O,1
1662181,1662179,fall,O,1
1662192,1662183,summer,O,1
1662209,1662154,summer,O,1
1662164,1662239,spring,O,1
1662353,1662244,fall,O,1
1662324,1662314,fall,O,1
1662349,10523,fall,A,1
1662349,10523,fall,O,2
1662349,10523,summer,O,1
1662349,10523,winter,C,1
1662349,10523,winter,O,1
10523,1662358,fall,C,1
10523,1662358,fall,O,2
10523,1662358,summer,O,2
10523,1662358,winter,O,2
1662382,1662381,summer,O,1
1662382,1662381,winter,O,1
1662386,1662382,fall,B,1
1662388,1662386,fall,O,1
1662290,1662407,spring,B,1
1662290,1662407,spring,O,2
1662290,1662407,summer,C,1
1662290,1662407,winter,A,1
1662290,1662407,winter,O,1
1662409,1662343,winter,O,1
1662406,1662342,winter,O,1
1662358,1662394,fall,O,1
1662358,1662394,spring,O,1
1662358,1662394,summer,O,1
1662303,1662416,fall,O,1
1662303,1662416,spring,O,5
1662303,1662416,summer,B,1
1662303,1662416,summer,O,2
1662303,1662416,winter,B,1
1662303,1662416,winter,O,1
1662416,1662220,fall,C,1
1662482,1662252,spring,O,1
1662482,1662252,winter,O,1
1662416,1662439,fall,O,2
1662416,1662439,winter,O,1
1662394,1662465,summer,C,1
1662394,1662465,summer,O,1
1662439,1662460,summer,O,1
1662465,1662509,fall,B,1
1662465,1662509,fall,C,1
1662465,1662509,fall,O,2
1662465,1662509,spring,C,3
1662465,1662509,spring,O,3
1662465,1662509,summer,O,2
1662510,1662514,fall,O,1
1662510,1662514,spring,O,1
1662510,1662514,summer,A,1
1662510,1662514,summer,O,4
1662349,1662514,fall,O,1
1662362,1662565,winter,O,1
1662536,1662569,winter,O,1
1662453,1662596,summer,O,1
1662569,1662604,summer,O,1
1662509,1662715,fall,B,2
1662509,1662715,fall,C,2
1662509,1662715,fall,O,1
1662509,1662715,spring,A,1
1662509,1662715,spring,O,3
1662509,1662715,summer,C,3
1662509,1662715,summer,O,3
1662509,1662715,winter,A,1
1662509,1662715,winter,O,5
1662735,1662731,spring,O,1
1662453,1662735,winter,O,1
1662752,1662715,fall,O,2
1662752,1662715,summer,O,1
1662752,1662715,winter,O,1
1662514,1662755,winter,C,1
1662694,1662753,winter,O,1
1662732,1662753,summer,O,1
1662732,1662753,winter,O,1
1662704,1662751,summer,B,1
1662704,1662751,winter,O,1
1662753,1662756,spring,C,1
1662756,1662752,spring,O,1
1662722,1662823,summer,O,1
1662715,1662794,fall,C,1
1662715,1662794,fall,O,2
1662715,1662794,spring,A,1
1662715,1662794,spring,O,1
1662715,1662794,summer,O,2
1662715,1662794,winter,B,1
1662715,1662794,winter,O,2
1662381,1662826,spring,O,1
1662381,1662826,winter,O,2
1662752,1662816,winter,O,1
1662734,1662839,summer,O,1
1662794,1662835,fall,B,1
1662794,1662835,fall,C,3
1662794,1662835,fall,O,2
1662794,1662835,spring,B,3
1662794,1662835,spring,C,1
1662794,1662835,spring,O,7
1662794,1662835,summer,C,1
1662794,1662835,summer,O,5
1662794,1662835,winter,B,1
1662794,1662835,winter,C,1
1662794,1662835,winter,O,5
1662837,1662813,fall,O,2
1662837,1662813,spring,O,2
1662837,1662813,summer,K,1
1662837,1662813,summer,O,1
1662835,1662843,fall,A,1
1662835,1662843,fall,C,3
1662835,1662843,fall,O,2
1662835,1662843,spring,C,1
1662835,1662843,spring,O,2
1662835,1662843,summer,B,1
1662835,1662843,summer,O,1
1662835,1662843,winter,O,3
1662813,1662887,fall,O,6
1662813,1662887,summer,O,3
1662813,1662887,winter,C,1
1662813,1662887,winter,O,2
1662914,1662835,fall,O,2
1662914,1662835,spring,O,1
1662914,1662835,summer,O,3
1662914,1662835,winter,O,2
1662843,1662933,summer,O,2
1662843,1662933,winter,O,2
1662922,1662933,winter,O,1
1662964,1662902,fall,B,1
1662964,1662902,spring,O,1
1662964,1662902,summer,O,1
1662933,1662944,spring,O,1
1662961,1662942,fall,O,1
1663012,1662909,summer,O,1
1663014,1663012,fall,C,1
1663014,1663012,summer,O,1
1663014,1663012,winter,O,1
1663014,2034247,fall,O,1
1663014,2034247,spring,O,1
1663014,2034247,winter,O,2
1663010,1663032,winter,O,1
1662967,1663032,winter,O,1
1662887,1663059,spring,C,1
1662887,1663059,summer,B,1
1662887,1663059,summer,O,1
1663072,1663010,fall,C,1
1663072,1663010,spring,O,1
1663072,1663010,winter,O,3
1663076,1663079,fall,B,1
1663076,1663079,spring,O,1
1662945,1663079,spring,O,1
1662945,1663079,summer,O,1
1663072,1663081,spring,C,1
1663072,1663081,winter,O,1
1663083,1663072,winter,O,2
1662933,1663090,spring,O,1
1662933,1663090,summer,O,1
1663059,1663090,fall,O,1
1663059,1663090,summer,B,1
1663059,1663090,summer,O,3
1663059,1663090,winter,O,1
1663106,1663014,winter,O,2
