REF_SITE_FROM_ID,REF_SITE_TO_ID,spring,summer,fall,winter
1661200,1660820,0,0,0,0
1661678,1661705,0,0,0,0
1661704,1661705,0,0,0,0
1661723,1661697,0,0,0,0
1661705,1661723,0,0,0,0
1661705,1661739,0,0,0,0
1661754,1661704,0,0,0,0
1661754,1661746,0,0,0,0
1661704,1661767,0,0,0,0
1661723,1661768,0,0,0,0
1661769,1661768,0,0,0,0
1661767,1661769,0,0,0,0
1661794,1661754,0,0,0,0
1661794,1661795,0,0,0,0
1661805,1661746,0,0,0,0
1661834,1661794,0,0,0,0
1661767,1661834,0,0,0,0
1661836,1661774,0,0,0,0
1661867,1661836,0,0,0,0
1661868,1661867,0,0,0,0
1661825,1661869,0,0,0,0
1661869,1661868,0,0,0,0
1661880,1661869,0,0,0,0
10464,1661744,0,1,0,0
1661884,1661805,0,0,0,1
1661884,1661880,0,0,0,0
1661768,1661878,0,0,0,0
1661887,1661805,0,1,0,0
1661887,1661884,0,0,0,0
1661882,1661769,0,0,0,0
1661886,1661834,0,0,0,0
1661886,1661887,0,0,0,0
1661882,1661886,0,0,0,0
1661851,1661837,0,0,0,0
1661851,1661838,0,0,0,0
1661936,1661868,0,0,0,0
1661936,1661939,0,0,0,0
1661939,1661867,0,0,0,0
1661869,1661942,0,0,0,0
1661942,1661936,0,0,0,0
1661838,1661879,0,0,0,0
1661908,1661906,0,0,0,0
1661942,1661950,0,0,0,0
1661880,1661959,0,0,0,0
1661959,1661950,0,0,0,0
1661904,1661851,0,0,0,0
1661907,1661904,0,0,0,0
1661952,1661940,0,0,0,0
1661801,1661952,0,0,0,0
1661993,1661951,0,0,0,0
1661908,1661946,0,0,0,0
1661945,1661908,0,0,0,0
1662004,1661936,0,0,0,0
1661950,1662004,0,0,0,0
1661965,1661945,0,0,0,0
1662019,1661927,0,0,0,0
1661966,1661970,0,0,0,0
1661970,1661965,0,0,0,0
1662023,1662019,0,0,0,0
1661969,1661904,0,0,0,0
1662036,1661993,0,0,0,0
1661978,1661974,0,0,0,0
1661974,1661977,0,0,0,0
1661984,1661978,0,0,0,0
1661974,1661984,0,0,0,0
1661879,1661988,0,0,0,0
1661988,1661987,0,0,0,0
1662008,1661997,0,0,0,0
1661945,1662008,0,0,0,0
1662004,1662055,0,0,0,0
1662055,1662053,0,0,0,0
1661970,1662011,0,0,0,0
1662000,1661984,0,0,0,0
1662001,1662000,0,1,0,0
1662003,1662001,0,0,1,0
1661907,1662003,0,0,0,0
1662070,1662023,0,0,0,0
1662062,1661940,0,0,0,0
1661952,1662062,0,0,0,0
1662075,1662070,0,0,0,0
1662068,1662016,0,0,0,0
1662042,1661969,0,0,0,0
1662040,1662042,0,0,0,0
1662044,1662040,0,0,0,0
1661988,1662044,0,0,0,0
1662055,1662096,0,0,0,0
1662093,1662096,0,0,0,0
1662096,1662098,0,0,0,0
1662098,1661939,0,0,0,0
1662118,1661897,0,0,0,0
1662117,1662057,0,0,0,0
1662118,1662117,0,0,0,0
1662119,1662054,0,0,0,0
1662117,1662119,0,0,0,0
1662066,1661965,0,0,0,0
1662113,1661993,0,0,0,0
1661940,1662068,0,0,0,0
1662129,1662039,0,0,0,0
1662119,1662129,0,0,0,0
1662129,1662138,0,0,0,0
1662141,1662091,0,0,0,0
1662141,1662113,0,0,0,0
1662149,1662070,0,0,1,0
1662138,1662149,0,0,0,0
1662147,1662113,0,0,0,0
1662008,1662088,0,0,0,0
1662088,1662090,0,0,0,0
1662154,1662075,0,0,0,0
1662149,1662154,0,0,0,0
