RDWY_LINK_ID,season,INJSVR,DOCTNMBR
4819137,summer,O,1
4819138,winter,A,1
4819145,summer,O,1
4819274,summer,O,1
4819275,fall,B,1
4819354,fall,O,1
4819370,fall,O,1
4819381,fall,O,1
4819383,fall,O,1
4819393,summer,O,1
4819410,summer,O,1
4819438,spring,O,1
4819488,fall,O,1
4819489,fall,O,1
4819515,fall,A,1
4819515,fall,O,2
4819515,summer,O,1
4819515,winter,C,1
4819515,winter,O,1
4819519,fall,C,1
4819519,fall,O,2
4819519,summer,O,2
4819519,winter,O,2
4819523,summer,O,1
4819523,winter,O,1
4819524,fall,B,1
4819527,fall,O,1
4819528,spring,B,1
4819528,spring,O,2
4819528,summer,C,1
4819528,winter,A,1
4819528,winter,O,1
4819529,winter,O,1
4819530,fall,O,1
4819535,winter,O,1
4819544,fall,O,1
4819544,spring,O,1
4819544,summer,O,1
4819565,fall,O,1
4819565,spring,O,5
4819565,summer,B,1
4819565,summer,O,2
4819565,winter,B,1
4819565,winter,O,1
4819566,fall,C,1
4819572,spring,O,1
4819572,winter,O,1
4819586,fall,O,2
4819586,winter,O,1
4819599,summer,C,1
4819599,summer,O,1
4819602,summer,O,1
4819644,fall,B,1
4819644,fall,C,1
4819644,fall,O,2
4819644,spring,C,3
4819644,spring,O,3
4819644,summer,O,2
4819645,fall,O,1
4819645,spring,O,1
4819645,summer,A,1
4819645,summer,O,4
4819646,fall,O,1
4819652,winter,O,1
4819698,winter,O,1
4819714,summer,O,1
4819743,summer,O,1
4819837,fall,B,2
4819837,fall,C,2
4819837,fall,O,1
4819837,spring,A,1
4819837,spring,O,3
4819837,summer,C,3
4819837,summer,O,3
4819837,winter,A,1
4819837,winter,O,5
4819855,spring,O,1
4819856,winter,O,1
4819869,fall,O,2
4819869,summer,O,1
4819869,winter,O,1
4819871,winter,C,1
4819872,winter,O,1
4819873,summer,O,1
4819873,winter,O,1
4819876,summer,B,1
4819876,winter,O,1
4819879,spring,C,1
4819880,spring,O,1
4819908,summer,O,1
4819929,fall,C,1
4819929,fall,O,2
4819929,spring,A,1
4819929,spring,O,1
4819929,summer,O,2
4819929,winter,B,1
4819929,winter,O,2
4819948,spring,O,1
4819948,winter,O,2
4819962,winter,O,1
4819964,summer,O,1
4819969,fall,B,1
4819969,fall,C,3
4819969,fall,O,2
4819969,spring,B,3
4819969,spring,C,1
4819969,spring,O,7
4819969,summer,C,1
4819969,summer,O,5
4819969,winter,B,1
4819969,winter,C,1
4819969,winter,O,5
4819972,fall,O,2
4819972,spring,O,2
4819972,summer,K,1
