,FROM,TO,CRASH
0,1661200,1660820,0
1,1661678,1661705,0
2,1661704,1661705,0
3,1661723,1661697,0
4,1661705,1661723,0
5,1661705,1661739,0
6,1661754,1661704,0
7,1661754,1661746,0
8,1661704,1661767,0
9,1661723,1661768,0
10,1661769,1661768,0
11,1661767,1661769,0
12,1661794,1661754,0
13,1661794,1661795,0
14,1661805,1661746,0
15,1661834,1661794,0
16,1661767,1661834,0
17,1661836,1661774,0
18,1661867,1661836,0
19,1661868,1661867,0
20,1661825,1661869,0
21,1661869,1661868,0
22,1661880,1661869,0
23,10464,1661744,1
24,1661884,1661805,1
25,1661884,1661880,0
26,1661768,1661878,0
27,1661887,1661805,1
28,1661887,1661884,0
29,1661882,1661769,0
30,1661886,1661834,0
31,1661886,1661887,0
32,1661882,1661886,0
33,1661851,1661837,0
34,1661851,1661838,0
35,1661936,1661868,0
36,1661936,1661939,0
37,1661939,1661867,0
38,1661869,1661942,0
39,1661942,1661936,0
40,1661838,1661879,0
41,1661908,1661906,0
42,1661942,1661950,0
43,1661880,1661959,0
44,1661959,1661950,0
45,1661904,1661851,0
46,1661907,1661904,0
47,1661952,1661940,0
48,1661801,1661952,0
49,1661993,1661951,0
50,1661908,1661946,0
51,1661945,1661908,0
52,1662004,1661936,0
53,1661950,1662004,0
54,1661965,1661945,0
55,1662019,1661927,0
56,1661966,1661970,0
57,1661970,1661965,0
58,1662023,1662019,0
59,1661969,1661904,0
60,1662036,1661993,0
61,1661978,1661974,0
62,1661974,1661977,0
63,1661984,1661978,0
64,1661974,1661984,0
65,1661879,1661988,0
66,1661988,1661987,0
67,1662008,1661997,0
68,1661945,1662008,0
69,1662004,1662055,0
70,1662055,1662053,0
71,1661970,1662011,0
72,1662000,1661984,0
73,1662001,1662000,1
74,1662003,1662001,1
75,1661907,1662003,0
76,1662070,1662023,0
77,1662062,1661940,0
78,1661952,1662062,0
79,1662075,1662070,0
80,1662068,1662016,0
81,1662042,1661969,0
82,1662040,1662042,0
83,1662044,1662040,0
84,1661988,1662044,0
85,1662055,1662096,0
86,1662093,1662096,0
87,1662096,1662098,0
88,1662098,1661939,0
89,1662118,1661897,0
90,1662117,1662057,0
91,1662118,1662117,0
92,1662119,1662054,0
93,1662117,1662119,0
94,1662066,1661965,0
95,1662113,1661993,0
96,1661940,1662068,0
97,1662129,1662039,0
98,1662119,1662129,0
99,1662129,1662138,0
100,1662141,1662091,0
101,1662141,1662113,0
102,1662149,1662070,1
103,1662138,1662149,0
104,1662147,1662113,0
105,1662008,1662088,0
106,1662088,1662090,0
107,1662154,1662075,0
108,1662149,1662154,0
109,1662085,1662042,0
110,1662176,1661793,0
111,1661969,1662085,0
112,1662121,10503,1
113,1661949,1662145,0
114,1662164,1662132,0
115,1662154,1662164,0
116,1662161,1662098,0
117,1662093,1662165,0
118,1662161,1662165,0
119,1662178,1662118,0
120,1662179,1662117,0
121,1662179,1662178,1
122,1662181,1662119,0
123,1662181,1662179,1
124,1662183,1662129,0
125,1662183,1662181,0
126,1662148,1662088,0
127,1662138,1662192,0
128,1662192,1662183,1
129,1662085,1662139,0
130,1662201,1662149,0
131,1662068,1662185,0
132,1662187,1662062,0
133,1662185,1662187,0
134,1662206,1662181,0
135,1662209,1662154,1
136,1662208,1662132,0
137,1662139,1662166,0
138,1662044,1662166,0
139,1662225,1662164,0
140,1662186,1662090,0
141,1662191,1662186,0
142,1662239,1662208,0
143,1662164,1662239,1
144,1662244,1662161,0
145,1662251,1662239,0
146,1662165,1662252,0
147,1662252,1662161,0
148,1662224,1662186,0
149,1662090,1662224,0
150,1662220,1662217,0
151,1662166,1662220,0
