,FROM,TO,test
0,1661200,1660820,0.002654451764463859
1,1661678,1661705,0.06978415760054152
2,1661704,1661705,0.06978415760054152
3,1661723,1661697,0.06978415760054152
4,1661705,1661723,0.06978415760054152
5,1661705,1661739,0.06978415760054152
6,1661754,1661704,0.06978415760054152
7,1661754,1661746,0.06978415760054152
8,1661704,1661767,0.06978415760054152
9,1661723,1661768,0.06978415760054152
10,1661769,1661768,0.06978415760054152
11,1661767,1661769,0.06978415760054152
12,1661794,1661754,0.06978415760054152
13,1661794,1661795,0.06978415760054152
14,1661805,1661746,0.005095410932790129
15,1661834,1661794,0.06978415760054152
16,1661767,1661834,0.06978415760054152
17,1661836,1661774,0.06978415760054152
18,1661867,1661836,0.06978415760054152
19,1661868,1661867,0.06978415760054152
20,1661825,1661869,0.06978415760054152
21,1661869,1661868,0.06978415760054152
22,1661880,1661869,0.06978415760054152
23,10464,1661744,0.0108827250343486
24,1661884,1661805,0.013989971289081422
25,1661884,1661880,0.005095410932790129
26,1661768,1661878,0.06978415760054152
27,1661887,1661805,0.18536711958032887
28,1661887,1661884,0.005095410932790129
29,1661882,1661769,0.06978415760054152
30,1661886,1661834,0.06978415760054152
31,1661886,1661887,0.005095410932790129
32,1661882,1661886,0.005095410932790129
33,1661851,1661837,0.06978415760054152
34,1661851,1661838,0.06978415760054152
35,1661936,1661868,0.06978415760054152
36,1661936,1661939,0.06978415760054152
37,1661939,1661867,0.06978415760054152
38,1661869,1661942,0.06978415760054152
39,1661942,1661936,0.06978415760054152
40,1661838,1661879,0.06978415760054152
41,1661908,1661906,0.06978415760054152
42,1661942,1661950,0.06978415760054152
43,1661880,1661959,0.005095410932790129
44,1661959,1661950,0.06978415760054152
45,1661904,1661851,0.06978415760054152
46,1661907,1661904,0.06978415760054152
47,1661952,1661940,0.06978415760054152
48,1661801,1661952,0.06978415760054152
49,1661993,1661951,0.06978415760054152
50,1661908,1661946,0.006818461530069585
51,1661945,1661908,0.006818461530069585
52,1662004,1661936,0.06978415760054152
53,1661950,1662004,0.06978415760054152
54,1661965,1661945,0.006818461530069585
55,1662019,1661927,0.06978415760054152
56,1661966,1661970,0.006818461530069585
57,1661970,1661965,0.006818461530069585
58,1662023,1662019,0.06978415760054152
59,1661969,1661904,0.06978415760054152
60,1662036,1661993,0.06978415760054152
61,1661978,1661974,0.06978415760054152
62,1661974,1661977,0.06978415760054152
63,1661984,1661978,0.06978415760054152
64,1661974,1661984,0.06978415760054152
65,1661879,1661988,0.06978415760054152
66,1661988,1661987,0.06978415760054152
67,1662008,1661997,0.06978415760054152
68,1661945,1662008,0.06978415760054152
69,1662004,1662055,0.06978415760054152
70,1662055,1662053,0.06978415760054152
71,1661970,1662011,0.06978415760054152
72,1662000,1661984,0.06978415760054152
73,1662001,1662000,0.6492241771083556
74,1662003,1662001,0.6492241771083556
75,1661907,1662003,0.002654451764463859
76,1662070,1662023,0.06978415760054152
77,1662062,1661940,0.06978415760054152
78,1661952,1662062,0.06978415760054152
79,1662075,1662070,0.06978415760054152
80,1662068,1662016,0.06978415760054152
81,1662042,1661969,0.06978415760054152
82,1662040,1662042,0.06978415760054152
83,1662044,1662040,0.06978415760054152
84,1661988,1662044,0.06978415760054152
85,1662055,1662096,0.06978415760054152
86,1662093,1662096,0.06978415760054152
87,1662096,1662098,0.06978415760054152
88,1662098,1661939,0.06978415760054152
89,1662118,1661897,0.06978415760054152
90,1662117,1662057,0.06978415760054152
91,1662118,1662117,0.06978415760054152
92,1662119,1662054,0.06978415760054152
93,1662117,1662119,0.06978415760054152
94,1662066,1661965,0.06978415760054152
95,1662113,1661993,0.06978415760054152
96,1661940,1662068,0.06978415760054152
97,1662129,1662039,0.06978415760054152
98,1662119,1662129,0.06978415760054152
99,1662129,1662138,0.06978415760054152
100,1662141,1662091,0.06978415760054152
101,1662141,1662113,0.06978415760054152
102,1662149,1662070,0.37023324694557574
103,1662138,1662149,0.06978415760054152
104,1662147,1662113,0.06978415760054152
105,1662008,1662088,0.06978415760054152
106,1662088,1662090,0.06978415760054152
107,1662154,1662075,0.06978415760054152
108,1662149,1662154,0.06978415760054152
109,1662085,1662042,0.06978415760054152
110,1662176,1661793,0.012716886499244616
111,1661969,1662085,0.06978415760054152
112,1662121,10503,0.6492241771083556
113,1661949,1662145,0.06978415760054152
114,1662164,1662132,0.06978415760054152
115,1662154,1662164,0.06978415760054152
116,1662161,1662098,0.06978415760054152
117,1662093,1662165,0.005095410932790129
118,1662161,1662165,0.06978415760054152
119,1662178,1662118,0.06978415760054152
120,1662179,1662117,0.06978415760054152
121,1662179,1662178,0.43213344280713883
122,1662181,1662119,0.06978415760054152
123,1662181,1662179,0.43213344280713883
124,1662183,1662129,0.06978415760054152
125,1662183,1662181,0.06978415760054152
126,1662148,1662088,0.06978415760054152
127,1662138,1662192,0.06978415760054152
128,1662192,1662183,0.43213344280713883
129,1662085,1662139,0.06978415760054152
130,1662201,1662149,0.06978415760054152
131,1662068,1662185,0.06978415760054152
132,1662187,1662062,0.06978415760054152
133,1662185,1662187,0.06978415760054152
134,1662206,1662181,0.06978415760054152
135,1662209,1662154,0.518887505188875
136,1662208,1662132,0.06978415760054152
137,1662139,1662166,0.06978415760054152
138,1662044,1662166,0.06978415760054152
139,1662225,1662164,0.06978415760054152
140,1662186,1662090,0.06978415760054152
141,1662191,1662186,0.06978415760054152
142,1662239,1662208,0.06978415760054152
143,1662164,1662239,0.21606672140356942
144,1662244,1662161,0.06978415760054152
145,1662251,1662239,0.06978415760054152
146,1662165,1662252,0.005095410932790129
147,1662252,1662161,0.06978415760054152
148,1662224,1662186,0.06978415760054152
149,1662090,1662224,0.06978415760054152
150,1662220,1662217,0.06978415760054152
151,1662166,1662220,0.06978415760054152
152,1662187,1662270,0.06978415760054152
153,1662270,1662246,0.06978415760054152
154,10503,1662309,0.006818461530069585
155,1662185,1662281,0.06978415760054152
156,1661833,1662337,0.022080319369739365
157,1662337,1662176,0.012716886499244616
158,1662320,1662309,0.006818461530069585
159,1662227,1662254,0.06978415760054152
160,1662224,1662254,0.06978415760054152
161,1662259,1662224,0.06978415760054152
162,1662230,1662259,0.06978415760054152
163,1662281,1662313,0.06978415760054152
164,1662314,1662305,0.06978415760054152
165,1662314,1662241,0.06978415760054152
166,1662351,1662320,0.006818461530069585
167,1661743,1662385,0.022080319369739365
168,1662365,1662337,0.012716886499244616
169,1662291,1662276,0.06978415760054152
170,1662242,1662291,0.06978415760054152
171,1662293,1662291,0.06978415760054152
172,1662238,1662293,0.06978415760054152
173,1662254,1662293,0.06978415760054152
174,1662353,1662244,0.17296250172962505
175,1662324,1662314,0.3246120885541778
176,1662281,1662324,0.06978415760054152
177,1662343,1662187,0.06978415760054152
178,1662343,1662270,0.06978415760054152
179,1662362,1662351,0.006818461530069585
180,1662230,1662308,0.06978415760054152
181,1662217,1662303,0.002654451764463859
182,1662349,10523,0.02256388753218292
183,10523,1662358,0.04211260911677826
184,1662382,1662381,0.01703227147056206
185,1662386,1662382,0.007250062259909656
186,1662388,1662386,0.0217654500686972
187,1662290,1662407,0.03174592256693297
188,1662409,1662343,0.37023324694557574
189,1662409,1662411,0.005095410932790129
190,1662324,1662410,0.06978415760054152
191,1662411,1662410,0.005095410932790129
192,1662406,1662342,0.37023324694557574
193,1662406,1662404,0.005095410932790129
194,1662404,1662403,0.005095410932790129
195,1662430,1662362,0.006818461530069585
196,1662358,1662394,0.033872565762175066
197,1662303,1662416,0.05517068430456726
198,1662416,1662220,0.14419610670511895
199,1662482,1662252,0.04100465505346495
200,1662459,1662388,0.06978415760054152
201,1662459,1662466,0.06978415760054152
202,1662358,1662453,0.06978415760054152
203,1662416,1662439,0.0450921853363971
204,1662429,1662440,0.06978415760054152
205,1662457,1662453,0.06978415760054152
206,1662399,1662465,0.06978415760054152
207,1662394,1662465,0.012895103970805486
208,1662439,1662460,0.030156588083624217
209,1662460,1662437,0.06978415760054152
210,1662503,1662459,0.06978415760054152
211,1662503,1662427,0.06978415760054152
212,1662528,1662513,0.06978415760054152
213,1662440,1662486,0.06978415760054152
214,1662465,1662506,0.06978415760054152
215,1662457,1662506,0.06978415760054152
216,1662351,1662555,0.06978415760054152
217,1662465,1662509,0.15453213785554465
218,1662510,1662514,0.7898715894473156
219,1662349,1662514,0.0250775837748033
220,1662512,1662457,0.06978415760054152
221,1662362,1662565,0.12352236372395221
222,1662555,1662565,0.06978415760054152
223,1662382,1662534,0.06978415760054152
224,1662534,1662432,0.06978415760054152
225,1662556,1662503,0.06978415760054152
226,1662320,1662602,0.06978415760054152
227,1662411,1662574,0.022080319369739365
228,1662602,1662615,0.06978415760054152
229,1662635,1662606,0.06978415760054152
230,1662602,1662635,0.06978415760054152
231,1662506,1662563,0.06978415760054152
232,1662536,1662569,0.6492241771083556
233,1662589,1662521,0.06978415760054152
234,1662563,1662589,0.06978415760054152
235,1662589,1662596,0.06978415760054152
236,1662453,1662596,0.16211396611818107
237,1662439,1662582,0.06978415760054152
238,1662407,1662409,0.06978415760054152
239,1662555,1662682,0.06978415760054152
240,1662653,1662556,0.06978415760054152
241,1662604,1662591,0.06978415760054152
242,1662569,1662604,0.8670019074041962
243,1662563,1662625,0.06978415760054152
244,1662582,1662631,0.06978415760054152
245,1662635,1662699,0.06978415760054152
