,FROM,TO,test2
0,1661200,1660820,10.793000874310051
1,1661678,1661705,11.02589690088556
2,1661704,1661705,18.42301760654296
3,1661723,1661697,40.54459556591462
4,1661705,1661723,18.42301760654296
5,1661705,1661739,14.724457253714261
6,1661754,1661704,40.54459556591462
7,1661754,1661746,18.42301760654296
8,1661704,1661767,33.14747486025722
9,1661723,1661768,29.448914507428523
10,1661769,1661768,18.42301760654296
11,1661767,1661769,22.12157795937166
12,1661794,1661754,22.12157795937166
13,1661794,1661795,11.02589690088556
14,1661805,1661746,2.690376972513188
15,1661834,1661794,29.448914507428523
16,1661767,1661834,62.66617352528628
17,1661836,1661774,51.57049246680018
18,1661867,1661836,14.724457253714261
19,1661868,1661867,25.820138312200363
20,1661825,1661869,25.820138312200363
21,1661869,1661868,33.14747486025722
22,1661880,1661869,36.84603521308592
23,10464,1661744,10.33858878263117
24,1661884,1661805,10.338588782631172
25,1661884,1661880,3.4954518998940283
26,1661768,1661878,62.66617352528628
27,1661887,1661805,136.98630136986304
28,1661887,1661884,2.420320193075311
29,1661882,1661769,62.66617352528628
30,1661886,1661834,22.12157795937166
31,1661886,1661887,1.8853020451323477
32,1661882,1661886,2.690376972513188
33,1661851,1661837,18.42301760654296
34,1661851,1661838,40.54459556591462
35,1661936,1661868,22.12157795937166
36,1661936,1661939,25.820138312200363
37,1661939,1661867,25.820138312200363
38,1661869,1661942,18.42301760654296
39,1661942,1661936,36.84603521308592
40,1661838,1661879,18.42301760654296
41,1661908,1661906,3.6985603528287005
42,1661942,1661950,3.6985603528287005
43,1661880,1661959,3.4954518998940283
44,1661959,1661950,29.448914507428523
45,1661904,1661851,18.42301760654296
46,1661907,1661904,18.42301760654296
47,1661952,1661940,66.29494972051444
48,1661801,1661952,114.23666599208647
49,1661993,1661951,14.724457253714261
50,1661908,1661946,12.961895368662281
51,1661945,1661908,1.4386953828446825
52,1662004,1661936,22.12157795937166
53,1661950,1662004,51.57049246680018
54,1661965,1661945,6.122978454002487
55,1662019,1661927,36.84603521308592
56,1661966,1661970,1.0773169217509944
57,1661970,1661965,1.0773169217509944
58,1662023,1662019,11.02589690088556
59,1661969,1661904,33.14747486025722
60,1662036,1661993,25.820138312200363
61,1661978,1661974,22.12157795937166
62,1661974,1661977,11.02589690088556
63,1661984,1661978,18.42301760654296
64,1661974,1661984,125.26256289297203
65,1661879,1661988,36.84603521308592
66,1661988,1661987,7.397120705657401
67,1662008,1661997,33.14747486025722
68,1661945,1662008,22.12157795937166
69,1662004,1662055,36.84603521308592
70,1662055,1662053,33.14747486025722
71,1661970,1662011,14.724457253714261
72,1662000,1661984,14.724457253714261
73,1662001,1662000,136.986301369863
74,1662003,1662001,136.986301369863
75,1661907,1662003,1.260864588120333
76,1662070,1662023,18.42301760654296
77,1662062,1661940,47.87193211397148
78,1661952,1662062,92.11508803271481
79,1662075,1662070,22.12157795937166
80,1662068,1662016,29.448914507428523
81,1662042,1661969,29.448914507428523
82,1662040,1662042,22.12157795937166
83,1662044,1662040,22.12157795937166
84,1661988,1662044,25.820138312200363
85,1662055,1662096,25.820138312200363
86,1662093,1662096,40.54459556591462
87,1662096,1662098,14.724457253714261
88,1662098,1661939,66.29494972051444
89,1662118,1661897,88.4165276798861
90,1662117,1662057,25.820138312200363
91,1662118,1662117,22.12157795937166
92,1662119,1662054,25.820138312200363
