WISLR_LINKID,functional_class
4818580,Urban Other Connecting Link Principal Arterial
4819008,Urban Local
4819009,Urban Local
4819014,Urban Local
4819015,Urban Local
4819030,Urban Local
4819035,Urban Local
4819036,Urban Local
4819044,Urban Local
4819046,Urban Local
4819047,Urban Local
4819048,Urban Local
4819073,Urban Local
4819076,Urban Local
4819082,Urban Minor Arterial
4819106,Urban Local
4819108,Urban Local
4819111,Urban Local
4819129,Urban Local
4819130,Urban Local
4819131,Urban Local
4819132,Urban Local
4819136,Urban Local
4819137,Urban Minor Arterial
4819138,Urban Minor Arterial
4819139,Urban Minor Arterial
4819140,Urban Local
4819145,Urban Local
4819146,Urban Minor Arterial
4819148,Urban Local
4819149,Urban Local
4819150,Urban Minor Arterial
4819151,Urban Minor Arterial
4819161,Urban Local
4819162,Urban Local
4819166,Urban Local
4819167,Urban Local
4819168,Urban Local
4819169,Urban Local
4819170,Urban Local
4819172,Urban Local
4819177,Urban Local
4819178,Urban Local
4819184,Urban Minor Arterial
4819185,Urban Local
4819186,Urban Local
4819187,Urban Local
4819197,Urban Local
4819198,Urban Local
4819201,Urban Local
4819204,Urban Collector
4819205,Urban Collector
4819209,Urban Local
4819210,Urban Local
4819222,Urban Collector
4819224,Urban Local
4819225,Urban Collector
4819226,Urban Collector
4819229,Urban Local
4819232,Urban Local
4819240,Urban Local
4819241,Urban Local
4819243,Urban Local
4819250,Urban Local
4819251,Urban Local
4819253,Urban Local
4819254,Urban Local
4819257,Urban Local
4819258,Urban Local
4819260,Urban Local
4819262,Urban Local
4819266,Urban Local
4819271,Urban Local
4819274,Urban Local
4819275,Urban Local
4819276,Urban Other Connecting Link Principal Arterial
4819284,Urban Local
4819289,Urban Local
4819290,Urban Local
4819291,Urban Local
4819297,Urban Local
4819298,Urban Local
4819299,Urban Local
4819301,Urban Local
4819302,Urban Local
4819306,Urban Local
4819308,Urban Local
4819309,Urban Local
4819310,Urban Local
4819317,Urban Local
4819320,Urban Local
4819321,Urban Local
4819322,Urban Local
4819323,Urban Local
4819324,Urban Local
4819325,Urban Local
4819329,Urban Local
4819339,Urban Local
4819340,Urban Local
4819348,Urban Local
4819350,Urban Local
4819351,Urban Local
4819354,Urban Local
4819355,Urban Local
4819356,Urban Local
4819357,Urban Local
4819360,Urban Local
4819364,Urban Local
4819365,Urban Local
4819367,Urban Local
4819368,Rural Major Collector
4819369,Urban Local
4819370,Urban Local
4819371,Urban Local
4819372,Urban Local
4819373,Urban Local
4819374,Urban Local
4819375,Urban Minor Arterial
4819376,Urban Local
4819379,Urban Local
4819380,Urban Local
4819381,Urban Local
4819382,Urban Local
4819383,Urban Local
4819384,Urban Local
4819385,Urban Local
4819391,Urban Local
4819392,Urban Local
4819393,Urban Local
4819394,Urban Local
4819403,Urban Local
4819405,Urban Local
4819406,Urban Local
4819407,Urban Local
4819408,Urban Local
4819410,Urban Local
4819412,Urban Local
4819421,Urban Local
4819422,Urban Local
4819426,Urban Local
4819431,Urban Local
4819434,Urban Local
4819437,Urban Local
4819438,Urban Local
4819440,Urban Local
4819441,Urban Local
4819446,Urban Minor Arterial
4819447,Urban Local
4819449,Urban Local
4819450,Urban Local
4819452,Urban Local
4819453,Urban Local
4819456,Urban Local
4819457,Urban Local
4819458,Urban Collector
4819461,Urban Local
4819462,Rural Local
4819463,Rural Major Collector
4819464,Urban Collector
4819465,Urban Local
4819466,Urban Local
4819467,Urban Local
4819468,Urban Local
4819475,Urban Local
4819476,Urban Local
4819477,Urban Local
4819478,Urban Collector
4819480,Rural Local
4819482,Rural Major Collector
4819483,Urban Local
4819484,Urban Local
4819485,Urban Local
4819486,Urban Local
4819487,Urban Local
4819488,Urban Local
4819489,Urban Local
4819490,Urban Local
4819495,Urban Local
4819496,Urban Local
4819497,Urban Collector
4819502,Urban Local
4819507,Urban Other Connecting Link Principal Arterial
4819515,Urban Other Connecting Link Principal Arterial
4819519,Urban Other Connecting Link Principal Arterial
4819523,Urban Minor Arterial
4819524,Urban Minor Arterial
4819527,Urban Minor Arterial
4819528,Urban Minor Arterial
4819529,Urban Local
4819532,Urban Minor Arterial
4819533,Urban Local
4819534,Urban Minor Arterial
4819535,Urban Local
4819536,Urban Minor Arterial
4819537,Urban Minor Arterial
4819540,Urban Collector
4819544,Urban Other Connecting Link Principal Arterial
4819565,Urban Other Connecting Link Principal Arterial
4819566,Urban Local
4819572,Urban Collector
4819575,Urban Local
4819580,Urban Local
4819581,Urban Local
4819586,Urban Other Connecting Link Principal Arterial
4819587,Urban Local
4819588,Urban Local
4819598,Urban Local
4819599,Urban Other Connecting Link Principal Arterial
4819602,Urban Other Connecting Link Principal Arterial
4819603,Urban Local
4819610,Urban Local
4819611,Urban Local
4819612,Urban Local
4819616,Urban Local
4819634,Urban Local
4819635,Urban Local
4819640,Urban Local
4819644,Urban Other Connecting Link Principal Arterial
4819645,Urban Local
4819646,Urban Collector
4819650,Urban Local
4819652,Urban Local
4819653,Urban Local
4819655,Urban Local
4819656,Urban Local
4819674,Urban Local
4819675,Urban Local
4819677,Rural Local
4819690,Urban Local
4819691,Urban Local
4819692,Urban Local
4819694,Urban Local
4819698,Urban Local
4819707,Urban Local
4819712,Urban Local
4819713,Urban Local
4819714,Urban Local
4819723,Urban Local
4819724,Urban Local
4819725,Urban Local
4819730,Urban Local
4819742,Urban Local
4819743,Urban Local
4819744,Urban Local
4819745,Urban Local
4819747,Urban Local
4819748,Urban Local
4819751,Urban Local
4819754,Rural Local
4819757,Rural Local
4819758,Rural Local
4819762,Rural Local
4819764,Urban Local
4819767,Urban Local
4819775,Urban Local
4819776,Urban Local
4819798,Urban Local
4819799,Urban Local
4819816,Urban Collector
4819817,Urban Local
4819821,Urban Local
4819823,Urban Local
4819837,Urban Other Connecting Link Principal Arterial
4819841,Urban Local
4819850,Urban Local
4819851,Urban Local
4819852,Urban Collector
4819855,Urban Collector
4819856,Urban Local
4819857,Urban Local
4819858,Urban Local
4819864,Urban Collector
4819865,Urban Local
4819866,Urban Local
4819868,Urban Local
4819869,Urban Collector
4819871,Urban Collector
4819872,Urban Collector
4819873,Urban Collector
4819874,Urban Local
4819875,Urban Local
4819876,Urban Other Connecting Link Principal Arterial
4819877,Urban Local
4819878,Urban Local
4819879,Urban Collector
4819880,Urban Collector
4819902,Urban Local
4819904,Urban Local
4819908,Urban Local
4819909,Urban Local
4819925,Rural Local
4819929,Urban Other Connecting Link Principal Arterial
4819934,Urban Local
4819943,Urban Local
4819947,Urban Local
4819948,Urban Local
4819962,Urban Local
4819964,Urban Local
4819969,Urban Other Connecting Link Principal Arterial
4819972,Urban Other Connecting Link Principal Arterial
4819976,Urban Other Connecting Link Principal Arterial
4819977,Urban Other Connecting Link Principal Arterial
4820030,Urban Local
4820031,Urban Local
4820033,Urban Other Connecting Link Principal Arterial
4820034,Urban Local
4820050,Urban Collector
4820057,Urban Local
4820075,Urban Local
4820076,Urban Local
4820083,Urban Minor Arterial
4820084,Urban Local
4820086,Urban Local
4820090,Urban Collector
4820091,Urban Local
4820095,Urban Local
4820096,Urban Local
4820134,Urban Local
4820135,Urban Local
4820136,Urban Local
4820137,Urban Minor Arterial
4820139,Urban Collector
4820141,Rural Local
4820148,Urban Local
4820149,Urban Local
4820152,Rural Local
4820153,Rural Local
4820180,Urban Other Connecting Link Principal Arterial
4820189,Urban Collector
4820193,Urban Collector
4820194,Urban Collector
4820196,Urban Local
4820197,Urban Collector
4820198,Urban Collector
4820200,Urban Collector
4820201,Urban Collector
4820202,Urban Local
4820203,Urban Collector
4820204,Urban Collector
4820211,Urban Minor Arterial
4820246,Urban Local
4820247,Urban Local
4820251,Urban Local
4820252,Urban Collector
4820254,Urban Local
4820255,Urban Local
4820256,Urban Local
4820257,Urban Local
4820262,Urban Local
4820265,Urban Local
4820266,Urban Local
4820267,Urban Minor Arterial
4820272,Urban Local
4820273,Urban Local
4820275,Urban Local
4820306,Urban Local
4820310,Urban Collector
4820315,Urban Local
4820317,Urban Local
4820318,Urban Collector
4820319,Urban Local
4820326,Urban Local
4820327,Urban Local
4820328,Urban Local
4820329,Urban Local
4820330,Urban Local
4820331,Urban Local
4820333,Urban Local
4820334,Urban Local
4820336,Urban Local
4820337,Urban Minor Arterial
4820348,Urban Collector
4820349,Urban Local
4820375,Rural Local
4820383,Rural Minor Arterial
4820399,Urban Local
4820402,Urban Other Connecting Link Principal Arterial
4820403,Urban Collector
4820404,Urban Other Connecting Link Principal Arterial
4820405,Urban Other Connecting Link Principal Arterial
4820406,Urban Other Connecting Link Principal Arterial
4820407,Urban Local
4820410,Urban Other Connecting Link Principal Arterial
4820411,Urban Local
4820419,Rural Local
4820422,Urban Other Connecting Link Principal Arterial
4820423,Urban Minor Arterial
4820426,Urban Other Connecting Link Principal Arterial
4820427,Urban Other Connecting Link Principal Arterial
4820452,Urban Minor Arterial
4820463,Urban Other Connecting Link Principal Arterial
4820464,Urban Collector
4820467,Urban Collector
4820471,Urban Local
4820472,Urban Local
4820477,Urban Minor Arterial
4820480,Urban Collector
4820481,Urban Other Connecting Link Principal Arterial
4820484,Urban Local
4820485,Urban Collector
4820487,Urban Collector
4820488,Urban Local
4820491,Urban Collector
4820492,Urban Local
4820493,Urban Collector
4820494,Urban Collector
4820497,Urban Collector
4820498,Urban Local
4820533,Urban Local
4820534,Urban Local
4820543,Urban Other Connecting Link Principal Arterial
4820548,Urban Local
4820550,Urban Local
4820551,Urban Local
4820552,Urban Minor Arterial
4820555,Urban Other Connecting Link Principal Arterial
4820556,Urban Local
4820558,Urban Local
4820567,Urban Local
4820570,Urban Local
4820571,Urban Local
4820577,Urban Local
4820578,Urban Local
4820579,Urban Local
4820580,Urban Local
4820581,Urban Local
4820593,Rural Local
4820596,Urban Local
4820608,Urban Local
4820609,Urban Local
4820611,Urban Local
4820612,Urban Local
4820617,Urban Collector
4820618,Urban Collector
4820620,Urban Local
4820621,Urban Other Connecting Link Principal Arterial
4820668,Urban Local
4820669,Urban Local
4820677,Urban Local
4820708,Urban Other Connecting Link Principal Arterial
4820712,Urban Local
4820713,Urban Local
4820714,Urban Local
4820715,Urban Local
4820716,Urban Local
4820723,Urban Local
4820724,Urban Minor Arterial
4820731,Urban Local
4820732,Urban Local
4820733,Urban Local
4820737,Urban Local
4820738,Urban Local
4820745,Urban Local
4820746,Urban Local
4820756,Urban Local
4820786,Urban Local
4820791,Urban Minor Arterial
4820800,Urban Collector
4820801,Urban Local
4820802,Urban Local
4820804,Urban Other Connecting Link Principal Arterial
4820809,Urban Local
4820821,Urban Local
4820826,Urban Local
4820827,Urban Local
4820839,Urban Collector
4820859,Rural Local
4820872,Urban Local
4820873,Urban Local
4820876,Urban Collector
4820895,Urban Local
4820896,Urban Local
4820899,Urban Local
