,FROM,TO,TIME
0,1661200,1660820,116.17142857142858
1,1661678,1661705,6.32
2,1661704,1661705,10.56
3,1661723,1661697,23.24
4,1661705,1661723,10.56
5,1661705,1661739,8.44
6,1661754,1661704,23.24
7,1661754,1661746,10.56
8,1661704,1661767,19.0
9,1661723,1661768,16.88
10,1661769,1661768,10.56
11,1661767,1661769,12.68
12,1661794,1661754,12.68
13,1661794,1661795,6.32
14,1661805,1661746,21.12
15,1661834,1661794,16.88
16,1661767,1661834,35.92
17,1661836,1661774,29.56
18,1661867,1661836,8.44
19,1661868,1661867,14.8
20,1661825,1661869,14.8
21,1661869,1661868,19.0
22,1661880,1661869,21.12
23,10464,1661744,31.666666666666668
24,1661884,1661805,29.56
25,1661884,1661880,27.44
26,1661768,1661878,35.92
27,1661887,1661805,29.56
28,1661887,1661884,19.0
29,1661882,1661769,35.92
30,1661886,1661834,12.68
31,1661886,1661887,14.8
32,1661882,1661886,17.6
33,1661851,1661837,6.6
34,1661851,1661838,14.525
35,1661936,1661868,12.68
36,1661936,1661939,14.8
37,1661939,1661867,14.8
38,1661869,1661942,10.56
39,1661942,1661936,21.12
40,1661838,1661879,6.6
41,1661908,1661906,1.5142857142857142
42,1661942,1661950,2.12
43,1661880,1661959,27.44
44,1661959,1661950,16.88
45,1661904,1661851,6.6
46,1661907,1661904,6.6
47,1661952,1661940,21.11111111111111
48,1661801,1661952,36.37777777777778
49,1661993,1661951,8.44
50,1661908,1661946,54.31428571428572
51,1661945,1661908,6.0285714285714285
52,1662004,1661936,12.68
53,1661950,1662004,29.56
54,1661965,1661945,25.65714285714286
55,1662019,1661927,21.12
56,1661966,1661970,4.514285714285714
57,1661970,1661965,4.514285714285714
58,1662023,1662019,6.32
59,1661969,1661904,11.875
60,1662036,1661993,14.8
61,1661978,1661974,7.925
62,1661974,1661977,3.95
63,1661984,1661978,6.6
64,1661974,1661984,44.875
65,1661879,1661988,13.2
66,1661988,1661987,2.65
67,1662008,1661997,13.571428571428571
68,1661945,1662008,9.057142857142857
69,1662004,1662055,21.12
70,1662055,1662053,19.0
71,1661970,1662011,6.0285714285714285
72,1662000,1661984,5.275
73,1662001,1662000,8.44
74,1662003,1662001,7.033333333333333
75,1661907,1662003,11.875
76,1662070,1662023,10.56
77,1662062,1661940,15.244444444444444
78,1661952,1662062,33.0
79,1662075,1662070,12.68
80,1662068,1662016,10.55
81,1662042,1661969,10.55
82,1662040,1662042,7.925
83,1662044,1662040,7.925
84,1661988,1662044,9.25
85,1662055,1662096,14.8
86,1662093,1662096,23.24
87,1662096,1662098,8.44
88,1662098,1661939,38.0
89,1662118,1661897,50.68
90,1662117,1662057,14.8
91,1662118,1662117,12.68
92,1662119,1662054,14.8
93,1662117,1662119,12.68
94,1662066,1661965,24.142857142857142
95,1662113,1661993,31.68
