road,loopNum
intersection_19,l407
intersection_19,l408
intersection_19,l409
intersection_19,l410
intersection_19,l416
intersection_19,l417
intersection_19,l424
intersection_19,l433
intersection_19,l437
intersection_19,l442
intersection_19,l443
intersection_19,l449
intersection_19,l451
intersection_19,l455
intersection_19,l459
intersection_19,l467
intersection_19,l477
intersection_19,l478
intersection_19,l482
intersection_19,l489
intersection_48,l163
intersection_48,l164
intersection_68,l163
intersection_68,l164
intersection_68,l170
intersection_68,l324
intersection_68,l325
intersection_68,l328
intersection_68,l344
intersection_68,l345
intersection_68,l359
intersection_68,l360
intersection_68,l361
intersection_68,l362
intersection_68,l364
intersection_68,l365
intersection_68,l366
intersection_68,l367
intersection_68,l368
intersection_68,l369
intersection_68,l370
intersection_68,l371
intersection_68,l372
intersection_68,l373
intersection_68,l374
intersection_68,l375
intersection_68,l376
intersection_68,l377
intersection_68,l378
intersection_68,l379
intersection_68,l380
intersection_68,l381
intersection_68,l382
intersection_68,l383
intersection_68,l384
intersection_68,l385
intersection_68,l386
intersection_68,l387
intersection_68,l389
intersection_68,l390
intersection_68,l391
intersection_68,l392
intersection_68,l393
intersection_68,l394
intersection_68,l395
intersection_68,l396
intersection_68,l397
intersection_68,l398
intersection_68,l399
intersection_68,l400
intersection_68,l401
intersection_68,l402
intersection_68,l403
intersection_68,l404
intersection_68,l407
intersection_68,l408
intersection_68,l409
intersection_68,l411
intersection_68,l412
intersection_68,l413
intersection_68,l414
intersection_68,l415
intersection_68,l417
intersection_68,l418
intersection_68,l419
intersection_68,l420
intersection_68,l421
intersection_68,l422
intersection_68,l423
intersection_68,l425
intersection_68,l426
intersection_68,l427
intersection_68,l429
intersection_68,l430
intersection_68,l432
intersection_68,l433
intersection_68,l434
intersection_68,l435
intersection_68,l436
intersection_68,l438
intersection_68,l439
intersection_68,l440
intersection_68,l441
intersection_68,l443
intersection_68,l444
intersection_68,l445
intersection_68,l446
intersection_68,l447
intersection_68,l448
intersection_68,l449
intersection_68,l452
intersection_68,l454
intersection_68,l456
intersection_68,l457
intersection_68,l458
intersection_68,l460
intersection_68,l461
intersection_68,l462
intersection_68,l463
intersection_68,l465
intersection_68,l466
intersection_68,l467
intersection_68,l469
intersection_68,l472
intersection_68,l473
intersection_68,l474
intersection_68,l475
intersection_68,l476
intersection_68,l481
intersection_68,l483
intersection_68,l485
intersection_68,l486
intersection_68,l488
intersection_68,l489
intersection_68,l491
intersection_68,l492
intersection_68,l494
intersection_68,l495
intersection_68,l496
intersection_68,l497
intersection_68,l498
intersection_68,l499
intersection_68,l500
intersection_84,l1
intersection_84,l2
