"roadID","loopNum"
"intersection_14","l46"
"intersection_20","l13"
"intersection_49","l2"
"intersection_49","l22"
"intersection_57","l9"
"intersection_64","l22"
"intersection_68","l10"
"intersection_68","l38"
"intersection_68","l46"
"intersection_84","l12"
"intersection_84","l25"
"intersection_84","l35"
"intersection_84","l40"
"intersection_84","l45"
"intersection_84","l50"
"intersection_86","l8"
"intersection_86","l24"
"intersection_86","l33"
"intersection_86","l37"
"intersection_86","l39"
"intersection_86","l41"
"intersection_90","l27"
"intersection_90","l30"
"intersection_98","l10"
"intersection_98","l12"
"intersection_98","l17"
"intersection_98","l30"
"intersection_102","l30"
"intersection_105","l18"
"intersection_107","l1"
"intersection_125","l17"
"intersection_125","l49"
"intersection_133","l13"
"intersection_144","l4"
"intersection_144","l5"
"intersection_144","l40"
"4822208","l2"
"4822208","l22"
"intersection_158","l2"
"intersection_158","l22"
"intersection_185","l27"
"intersection_185","l32"
"intersection_225","l7"
"intersection_226","l1"
"intersection_226","l7"
"intersection_226","l42"
"intersection_235","l2"
"intersection_241","l28"
"intersection_242","l10"
"intersection_242","l12"
"intersection_242","l17"
"intersection_242","l32"
"intersection_242","l46"
"intersection_245","l6"
"intersection_249","l29"
"intersection_251","l8"
"intersection_251","l33"
"intersection_251","l36"
"intersection_251","l47"
"intersection_253","l14"
"intersection_270","l21"
"intersection_271","l23"
"intersection_283","l3"
"intersection_283","l32"
"intersection_289","l29"
"intersection_296","l45"
"intersection_321","l2"
"intersection_321","l10"
"intersection_321","l38"
"intersection_321","l46"
"intersection_327","l10"
"intersection_327","l12"
"intersection_327","l17"
"intersection_327","l28"
"intersection_327","l32"
"intersection_327","l46"
"intersection_330","l8"
"intersection_330","l33"
"intersection_330","l36"
"intersection_330","l39"
"intersection_330","l47"
"intersection_343","l10"
"intersection_349","l26"
"intersection_353","l1"
"intersection_353","l23"
"intersection_354","l25"
"intersection_354","l26"
"intersection_355","l3"
"intersection_355","l8"
"intersection_355","l16"
"intersection_355","l20"
"intersection_355","l24"
"intersection_355","l33"
"intersection_355","l34"
"intersection_355","l39"
"intersection_355","l41"
"intersection_355","l44"
"intersection_355","l48"
"intersection_357","l10"
"intersection_357","l12"
"intersection_357","l17"
"intersection_357","l28"
"intersection_357","l38"
"intersection_357","l40"
"intersection_357","l46"
"intersection_357","l49"
"intersection_371","l34"
"intersection_392","l4"
"intersection_392","l5"
"intersection_393","l22"
"intersection_401","l45"
"intersection_403","l39"
"intersection_411","l39"
"intersection_436","l41"
"intersection_439","l1"
"intersection_439","l11"
"intersection_439","l23"
"intersection_439","l26"
"intersection_439","l42"
"intersection_440","l21"
"intersection_442","l21"
"intersection_444","l8"
"intersection_448","l8"
"intersection_450","l13"
"intersection_460","l24"
"intersection_462","l24"
"intersection_472","l9"
"intersection_472","l12"
"intersection_472","l14"
"intersection_472","l25"
"intersection_472","l40"
"intersection_472","l43"
"intersection_472","l45"
"intersection_472","l50"
"intersection_474","l4"
"intersection_474","l5"
"intersection_474","l33"
"intersection_474","l37"
"intersection_474","l39"
"intersection_474","l41"
"intersection_475","l2"
"intersection_475","l10"
"intersection_475","l12"
"intersection_475","l13"
"intersection_475","l19"
"intersection_475","l25"
