"roadID","loopNum"
"intersection_20","l13"
"intersection_20","l14"
"intersection_20","l16"
"intersection_20","l22"
"intersection_20","l23"
"intersection_20","l30"
"intersection_20","l39"
"intersection_26","l46"
"intersection_38","l25"
"intersection_49","l15"
"intersection_49","l18"
"intersection_49","l37"
"intersection_68","l3"
"intersection_68","l7"
"intersection_68","l38"
"intersection_68","l44"
"intersection_68","l46"
"intersection_84","l2"
"intersection_84","l4"
"intersection_84","l8"
"intersection_84","l48"
"intersection_86","l21"
"intersection_86","l26"
"intersection_86","l29"
"intersection_86","l32"
"intersection_86","l36"
"intersection_86","l47"
"intersection_90","l10"
"intersection_90","l42"
"intersection_98","l1"
"intersection_98","l42"
"intersection_105","l17"
"intersection_107","l27"
"intersection_125","l1"
"intersection_125","l5"
"intersection_125","l6"
"intersection_125","l26"
"intersection_133","l13"
"intersection_133","l14"
"intersection_133","l16"
"intersection_133","l22"
"intersection_133","l23"
"intersection_133","l30"
"intersection_133","l39"
"intersection_144","l24"
"intersection_144","l49"
"4822208","l15"
"4822208","l18"
"4822208","l37"
"intersection_158","l15"
"intersection_158","l18"
"intersection_158","l37"
"intersection_170","l33"
"intersection_171","l33"
"intersection_185","l7"
"intersection_185","l15"
"intersection_185","l27"
"intersection_185","l33"
"4845785","l46"
"intersection_187","l20"
"intersection_188","l46"
"intersection_225","l32"
"intersection_226","l28"
"intersection_226","l32"
"intersection_226","l45"
"intersection_241","l41"
"intersection_242","l1"
"intersection_242","l2"
"intersection_242","l3"
"intersection_242","l17"
"intersection_242","l27"
"intersection_245","l19"
"intersection_249","l40"
"intersection_251","l22"
"intersection_251","l28"
"intersection_251","l32"
"intersection_251","l39"
"intersection_251","l41"
"intersection_271","l34"
"intersection_273","l29"
"intersection_283","l7"
"intersection_283","l27"
"intersection_289","l40"
"intersection_296","l2"
"intersection_321","l3"
"intersection_321","l7"
"intersection_321","l15"
"intersection_321","l18"
"intersection_321","l37"
"intersection_321","l38"
"intersection_321","l44"
"intersection_321","l46"
"intersection_322","l1"
"intersection_322","l6"
"intersection_327","l1"
"intersection_327","l2"
"intersection_327","l3"
"intersection_327","l17"
"intersection_327","l27"
"intersection_330","l22"
"intersection_330","l28"
"intersection_330","l32"
"intersection_330","l39"
"intersection_343","l3"
"intersection_343","l7"
"intersection_349","l28"
"intersection_353","l34"
"intersection_354","l37"
"intersection_355","l14"
"intersection_355","l21"
"intersection_355","l22"
"intersection_355","l23"
"intersection_355","l29"
"intersection_355","l32"
"intersection_355","l36"
"intersection_355","l39"
"intersection_355","l47"
"intersection_357","l1"
"intersection_357","l2"
"intersection_357","l3"
"intersection_357","l6"
"intersection_357","l7"
"intersection_357","l15"
"intersection_357","l17"
"intersection_357","l33"
"intersection_357","l38"
"intersection_357","l46"
"intersection_357","l48"
"intersection_358","l8"
"intersection_365","l8"
"intersection_368","l16"
"intersection_385","l49"
"intersection_392","l47"
"intersection_392","l49"
"intersection_401","l2"
"intersection_414","l49"
"intersection_416","l49"
"intersection_439","l28"
"intersection_439","l34"
"intersection_441","l34"
"intersection_450","l22"
"intersection_469","l4"
"intersection_471","l32"
"intersection_472","l2"
"intersection_472","l4"
"intersection_472","l8"
"intersection_472","l43"
"intersection_474","l12"
"intersection_474","l29"
"intersection_474","l31"
"intersection_474","l32"
