"roadID","loopNum"
"intersection_19","l19"
"intersection_19","l24"
"intersection_19","l25"
"intersection_19","l32"
"intersection_19","l33"
"intersection_19","l49"
"intersection_20","l1"
"intersection_20","l2"
"intersection_20","l13"
"intersection_20","l14"
"intersection_20","l16"
"intersection_20","l17"
"intersection_20","l23"
"intersection_20","l34"
"intersection_20","l37"
"intersection_20","l39"
"intersection_20","l42"
"intersection_20","l46"
"intersection_48","l12"
"intersection_49","l1"
"intersection_49","l2"
"intersection_49","l35"
"intersection_61","l38"
"intersection_64","l20"
"intersection_64","l36"
"intersection_64","l44"
"intersection_68","l24"
"intersection_68","l32"
"intersection_70","l41"
"intersection_81","l22"
"intersection_84","l22"
"intersection_84","l26"
"intersection_84","l38"
"intersection_86","l50"
"intersection_87","l7"
"intersection_87","l11"
"intersection_87","l18"
"intersection_87","l30"
"intersection_90","l28"
"intersection_90","l40"
"intersection_95","l7"
"intersection_95","l11"
"intersection_98","l28"
"intersection_98","l40"
"intersection_102","l28"
"intersection_107","l11"
"intersection_107","l30"
"intersection_124","l41"
"intersection_133","l41"
"4843594","l12"
"4822208","l1"
"4822208","l2"
"4822208","l35"
"intersection_156","l12"
"intersection_158","l1"
"intersection_158","l2"
"intersection_158","l35"
"intersection_174","l19"
"intersection_174","l49"
"intersection_176","l39"
"intersection_177","l19"
"intersection_177","l49"
"intersection_196","l21"
"intersection_219","l43"
"intersection_221","l43"
"intersection_225","l16"
"intersection_226","l16"
"intersection_233","l16"
"intersection_241","l23"
"intersection_241","l37"
"intersection_242","l45"
"intersection_242","l47"
"intersection_244","l25"
"intersection_244","l33"
"intersection_249","l13"
"intersection_249","l14"
"intersection_249","l23"
"intersection_249","l34"
"intersection_249","l37"
"intersection_251","l23"
"intersection_253","l35"
"intersection_253","l49"
"intersection_255","l12"
"intersection_261","l27"
"intersection_286","l25"
"intersection_286","l33"
"intersection_289","l13"
"intersection_289","l14"
"intersection_289","l34"
"intersection_306","l28"
"intersection_316","l36"
"intersection_317","l20"
"intersection_317","l44"
"intersection_318","l12"
"intersection_318","l36"
"intersection_320","l35"
"intersection_321","l24"
"intersection_321","l32"
"intersection_326","l37"
"intersection_327","l37"
"intersection_327","l45"
"intersection_327","l47"
"intersection_355","l41"
"intersection_355","l50"
"intersection_357","l26"
"intersection_357","l31"
"intersection_357","l43"
"intersection_357","l47"
"intersection_363","l6"
"intersection_396","l48"
"intersection_399","l48"
"intersection_424","l24"
"intersection_436","l13"
"intersection_436","l14"
"intersection_438","l21"
"intersection_439","l21"
"intersection_449","l6"
"intersection_449","l25"
"intersection_452","l27"
"intersection_455","l27"
"intersection_460","l40"
"intersection_462","l40"
"intersection_466","l27"
"intersection_471","l50"
"intersection_474","l50"
"intersection_475","l22"
"intersection_475","l26"
"intersection_475","l29"
