"roadID","loopNum"
"intersection_19","l1"
"intersection_19","l2"
"intersection_19","l3"
"intersection_19","l5"
"intersection_19","l6"
"intersection_19","l7"
"intersection_19","l9"
"intersection_19","l10"
"intersection_19","l11"
"intersection_19","l14"
"intersection_19","l15"
"intersection_19","l16"
"intersection_19","l17"
"intersection_19","l18"
"intersection_19","l20"
"intersection_19","l21"
"intersection_19","l22"
"intersection_19","l23"
"intersection_19","l28"
"intersection_19","l29"
"intersection_19","l31"
"intersection_19","l32"
"intersection_19","l34"
"intersection_19","l36"
"intersection_19","l38"
"intersection_19","l39"
"intersection_19","l40"
"intersection_19","l41"
"intersection_19","l42"
"intersection_19","l43"
"intersection_19","l44"
"intersection_19","l45"
"intersection_19","l46"
"intersection_19","l47"
"intersection_19","l48"
"intersection_19","l49"
"intersection_19","l50"
"intersection_33","l1"
"intersection_33","l5"
"intersection_33","l31"
"intersection_33","l42"
"intersection_33","l44"
"intersection_33","l47"
"intersection_36","l1"
"intersection_36","l5"
"intersection_36","l42"
"intersection_36","l44"
"intersection_68","l1"
"intersection_68","l2"
"intersection_68","l5"
"intersection_68","l7"
"intersection_68","l9"
"intersection_68","l10"
"intersection_68","l11"
"intersection_68","l14"
"intersection_68","l16"
"intersection_68","l17"
"intersection_68","l18"
"intersection_68","l20"
"intersection_68","l21"
"intersection_68","l23"
"intersection_68","l28"
"intersection_68","l29"
"intersection_68","l31"
"intersection_68","l32"
"intersection_68","l36"
"intersection_68","l38"
"intersection_68","l39"
"intersection_68","l43"
"intersection_68","l44"
"intersection_68","l46"
"intersection_68","l47"
"intersection_68","l48"
"intersection_68","l50"
"intersection_87","l1"
"intersection_87","l2"
"intersection_87","l3"
"intersection_87","l5"
"intersection_87","l7"
"intersection_87","l9"
"intersection_87","l10"
"intersection_87","l11"
"intersection_87","l14"
"intersection_87","l15"
"intersection_87","l17"
"intersection_87","l18"
"intersection_87","l20"
"intersection_87","l21"
"intersection_87","l22"
"intersection_87","l23"
"intersection_87","l28"
