"roadID","loopNum"
"intersection_84","l1"
"intersection_185","l1"
"intersection_289","l1"
"intersection_357","l1"
"intersection_475","l1"
"intersection_495","l1"
"intersection_677","l1"
"intersection_896","l1"
"5253200","l1"
"intersection_1003","l1"
"intersection_1034","l1"
"4829347","l1"
"intersection_1224","l1"
"4830487","l1"
"intersection_1292","l1"
"intersection_1349","l1"
"4819524","l1"
"intersection_1432","l1"
"intersection_1513","l1"
"4819523","l1"
"intersection_1710","l1"
"intersection_1788","l1"
"5253202","l1"
"intersection_2181","l1"
"intersection_2223","l1"
"intersection_2392","l1"
"5098692","l1"
"5098691","l1"
"intersection_2408","l1"
"intersection_2772","l1"
"5098599","l1"
"intersection_3071","l1"
"intersection_3436","l1"
"intersection_3440","l1"
"4819527","l1"
"intersection_3586","l1"
"4819537","l1"
"intersection_3733","l1"
"4819515","l1"
"intersection_3852","l1"
"intersection_3856","l1"
"intersection_3860","l1"
"4829354","l1"
"intersection_3987","l1"
"4841255","l1"
"5016906","l1"
"intersection_4174","l1"
"intersection_4402","l1"
"5147024","l1"
"intersection_4450","l1"
"4884665","l1"
"4884663","l1"
"intersection_4463","l1"
"4840570","l1"
"5422280","l1"
"intersection_4535","l1"
"4840590","l1"
"5139948","l1"
"intersection_4608","l1"
"intersection_4612","l1"
"5015992","l1"
"intersection_4865","l1"
"4840608","l1"
"4840591","l1"
"intersection_4941","l1"
"intersection_4942","l1"
"5016006","l1"
"5571518","l1"
"intersection_5133","l1"
"4840537","l1"
"4840536","l1"
"intersection_5176","l1"
"5036721","l1"
"5036720","l1"
"intersection_5216","l1"
"4819528","l1"
"intersection_5317","l1"
"4819532","l1"
"4819530","l1"
"intersection_5427","l1"
"4829338","l1"
"4819534","l1"
"intersection_5478","l1"
"4840611","l1"
"4840612","l1"
"intersection_5513","l1"
"5571524","l1"
"5015996","l1"
"intersection_5577","l1"
"4840532","l1"
"4840525","l1"
"intersection_5625","l1"
"4819536","l1"
"5147025","l1"
"intersection_5654","l1"
"5015975","l1"
"5015965","l1"
"intersection_5864","l1"
