"roadID","loopNum"
"intersection_19","l8"
"intersection_19","l11"
"intersection_19","l17"
"intersection_19","l29"
"intersection_19","l33"
"intersection_19","l38"
"intersection_19","l41"
"intersection_19","l43"
"intersection_20","l3"
"intersection_20","l6"
"intersection_20","l7"
"intersection_20","l9"
"intersection_20","l10"
"intersection_20","l13"
"intersection_20","l22"
"intersection_20","l30"
"intersection_20","l31"
"intersection_20","l34"
"intersection_20","l45"
"intersection_23","l43"
"intersection_26","l43"
"intersection_64","l14"
"intersection_64","l27"
"intersection_67","l27"
"intersection_70","l29"
"intersection_86","l1"
"intersection_86","l5"
"intersection_86","l16"
"intersection_86","l47"
"intersection_87","l24"
"intersection_87","l33"
"intersection_87","l41"
"intersection_90","l15"
"intersection_90","l20"
"intersection_90","l21"
"intersection_95","l42"
"intersection_97","l42"
"intersection_98","l15"
"intersection_98","l20"
"intersection_98","l21"
"intersection_125","l29"
"intersection_134","l29"
"intersection_167","l2"
"intersection_170","l4"
"intersection_171","l4"
"intersection_175","l9"
"intersection_176","l45"
"intersection_178","l9"
"intersection_179","l11"
"intersection_179","l38"
"intersection_179","l44"
"intersection_193","l25"
"intersection_196","l19"
"intersection_197","l19"
"intersection_226","l19"
"intersection_231","l25"
"intersection_249","l26"
"intersection_249","l30"
"intersection_249","l31"
"intersection_249","l34"
"intersection_251","l43"
"intersection_271","l12"
"intersection_283","l16"
"intersection_283","l18"
"intersection_283","l20"
"intersection_283","l21"
"intersection_285","l43"
"intersection_289","l26"
"intersection_289","l30"
"intersection_289","l31"
"intersection_289","l34"
"intersection_317","l14"
"intersection_317","l27"
"intersection_322","l6"
"intersection_322","l7"
"intersection_322","l10"
"intersection_322","l22"
"intersection_330","l2"
"intersection_330","l43"
"intersection_355","l1"
"intersection_355","l2"
"intersection_355","l6"
"intersection_355","l7"
"intersection_355","l12"
"intersection_355","l16"
"intersection_355","l46"
"intersection_355","l47"
"intersection_357","l4"
"intersection_358","l44"
"intersection_360","l17"
"intersection_360","l19"
"intersection_365","l27"
"intersection_424","l11"
"intersection_424","l17"
"intersection_424","l23"
"intersection_424","l33"
"intersection_424","l38"
"intersection_424","l41"
"intersection_424","l43"
"intersection_436","l1"
"intersection_438","l19"
"intersection_439","l19"
"intersection_440","l25"
"intersection_442","l25"
"intersection_450","l6"
"intersection_450","l7"
"intersection_460","l15"
"intersection_462","l15"
"intersection_473","l5"
"intersection_475","l4"
"intersection_475","l25"
"intersection_475","l40"
"intersection_475","l44"
"intersection_475","l49"
"intersection_475","l50"
"intersection_477","l5"
"intersection_479","l1"
"intersection_479","l2"
"intersection_479","l5"
"intersection_479","l16"
"intersection_479","l19"
"intersection_479","l36"
"intersection_479","l46"
"intersection_479","l47"
"intersection_495","l25"
"intersection_495","l32"
"intersection_495","l49"
"intersection_495","l50"
"intersection_498","l1"
"intersection_498","l5"
"intersection_498","l16"
"intersection_498","l19"
"intersection_498","l36"
"intersection_498","l46"
"intersection_498","l47"
"intersection_515","l3"
"intersection_515","l6"
"intersection_515","l7"
"intersection_515","l10"
"intersection_515","l13"
"intersection_515","l22"
"intersection_515","l30"
"intersection_515","l31"
"intersection_515","l34"
"4829373","l14"
"intersection_544","l14"
"intersection_546","l17"
"intersection_546","l41"
"intersection_548","l6"
"intersection_548","l7"
"intersection_548","l9"
"intersection_548","l10"
"intersection_548","l34"
"5516766","l17"
"5516766","l19"
"intersection_558","l17"
"intersection_558","l19"
"4845784","l43"
"intersection_605","l29"
"intersection_605","l43"
"intersection_606","l30"
"intersection_609","l30"
"intersection_609","l31"
"intersection_624","l16"
"intersection_624","l47"
"intersection_660","l2"
"intersection_661","l2"
"intersection_683","l15"
"intersection_684","l20"
"intersection_684","l21"
"5314261","l3"
"5314261","l6"
"5314261","l7"
"5314261","l10"
"5314261","l13"
"5314261","l22"
"5314261","l30"
"5314261","l31"
"5314261","l34"
"intersection_803","l23"
"intersection_805","l29"
"intersection_806","l9"
"intersection_806","l45"
"intersection_809","l3"
"intersection_809","l6"
"intersection_809","l7"
"intersection_809","l10"
"intersection_809","l13"
"intersection_809","l22"
"intersection_809","l30"
"intersection_809","l31"
"intersection_809","l34"
"intersection_810","l45"
"intersection_812","l20"
"intersection_812","l21"
"intersection_814","l42"
"intersection_816","l15"
"intersection_817","l20"
"intersection_817","l21"
"intersection_839","l11"
"intersection_839","l17"
"intersection_839","l19"
"intersection_839","l38"
"intersection_848","l5"
"intersection_855","l8"
"intersection_855","l14"
"intersection_855","l38"
"intersection_856","l14"
"intersection_859","l13"
"intersection_859","l19"
"intersection_864","l13"
"intersection_866","l23"
"intersection_866","l25"
"intersection_866","l33"
"intersection_866","l41"
"intersection_866","l43"
"intersection_884","l5"
"intersection_888","l35"
"intersection_894","l37"
"intersection_895","l40"
"intersection_896","l4"
"intersection_896","l25"
"intersection_896","l44"
"intersection_900","l1"
"intersection_900","l2"
"intersection_900","l16"
"intersection_900","l19"
"intersection_900","l46"
"intersection_900","l47"
"intersection_902","l15"
"intersection_902","l30"
"intersection_902","l31"
"intersection_902","l34"
"intersection_902","l39"
"intersection_902","l47"
"intersection_903","l4"
"intersection_907","l48"
"intersection_908","l4"
"intersection_908","l18"
"intersection_908","l24"
"intersection_908","l33"
"intersection_908","l41"
"intersection_914","l3"
"intersection_916","l27"
"intersection_919","l32"
"intersection_919","l35"
"intersection_919","l49"
"intersection_919","l50"
"intersection_931","l8"
"intersection_931","l11"
"intersection_931","l17"
"intersection_931","l23"
"intersection_931","l33"
"intersection_931","l38"
"intersection_931","l41"
"intersection_931","l43"
"intersection_938","l33"
"intersection_944","l4"
"intersection_944","l18"
"intersection_944","l24"
"intersection_944","l33"
"intersection_944","l41"
"intersection_944","l48"
"intersection_947","l15"
"intersection_947","l30"
"intersection_947","l31"
"intersection_947","l34"
"intersection_947","l39"
"intersection_947","l47"
"intersection_960","l42"
"intersection_966","l24"
"4841867","l42"
"4820481","l15"
"4820481","l20"
"4820481","l21"
"intersection_981","l42"
"intersection_984","l15"
"intersection_984","l20"
"intersection_984","l21"
"5253199","l1"
"5253199","l5"
"5253199","l16"
"5253199","l47"
"intersection_1001","l1"
"intersection_1001","l5"
"intersection_1001","l16"
"intersection_1001","l47"
"intersection_1005","l11"
"intersection_1005","l38"
"intersection_1013","l34"
"intersection_1015","l39"
"intersection_1026","l43"
"intersection_1035","l18"
"4821850","l14"
"4821850","l27"
"intersection_1051","l14"
"intersection_1051","l27"
"intersection_1069","l26"
"intersection_1069","l30"
