RDWY_LINK_ID,REF_SITE_FROM_ID,REF_SITE_TO_ID,LCM_FROM_TO_DIS,LOC_FLKOS_FT,LOC_TLKOS_FT,ST_PRMY_SYMB_TY,FNCT_CLS_CTGY_TYCD,FNCT_CLS_CTGY_TYDC
2156,10132,10101,4171,0,4171,STH,,
2157,10101,10091,4013,0,4013,STH,,
2159,10087,10097,1426,0,1426,STH,,
2160,10097,10016,6653,0,6653,STH,,
2161,10016,10078,5491,0,5491,STH,,
2165,10125,10079,4435,0,4435,STH,,
2166,10079,10077,2218,0,2218,STH,,
2195,10204,10200,1320,0,1320,STH,,
2196,10200,10195,2693,0,2693,STH,,
2200,10240,10238,4488,0,4488,STH,,
8436,12045,12062,4013,0,4013,STH,,
8437,12062,12063,4541,0,4541,STH,,
8443,11915,11901,3221,0,3221,STH,,
8444,11901,11895,1426,0,1426,STH,,
8445,11895,11875,3062,0,3062,STH,,
8735,11763,11717,3379,0,3379,STH,,
8736,11717,11678,3326,0,3326,STH,,
8739,11506,11439,5280,0,5280,STH,,
8740,11439,11404,2693,0,2693,STH,,
8741,11404,11343,3960,0,3960,STH,,
8762,9808,9766,5280,0,5280,STH,,
9178,11882,11871,2957,0,2957,STH,,
9194,11142,11127,634,0,634,STH,,
9197,10817,10787,3274,0,3274,STH,,
9200,10577,10526,1742,0,1742,STH,,
9201,10526,10470,2429,0,2429,STH,,
9958,11602,11638,2587,0,2587,STH,,
9959,11638,11652,4013,0,4013,STH,,
9962,11704,11719,1056,0,1056,STH,,
9964,11739,11751,1742,0,1742,STH,,
9965,11751,11780,5597,0,5597,STH,,
9968,11898,11962,5333,0,5333,STH,,
9970,11972,12006,4013,0,4013,STH,,
11174,11988,11987,2376,0,2376,STH,,
11176,11961,11908,3643,0,3643,STH,,
11177,11908,11885,3326,0,3326,STH,,
11182,11847,11846,4013,0,4013,STH,,
11184,11850,11851,4435,0,4435,STH,,
14716,10101,10132,4171,0,4171,STH,,
14717,10091,10101,4013,0,4013,STH,,
14719,10097,10087,1426,0,1426,STH,,
14720,10016,10097,6653,0,6653,STH,,
14721,10078,10016,5491,0,5491,STH,,
14725,10079,10125,4435,0,4435,STH,,
14726,10077,10079,2218,0,2218,STH,,
