RDWY_LINK_ID,REF_SITE_FROM_ID,REF_SITE_TO_ID,LCM_FROM_TO_DIS,RDWY_LINK_RSLN
4818580,1661200,1660820,4066,52.7999992
4819008,1661678,1661705,158,52.7999992
4819009,1661704,1661705,264,52.7999992
4819014,1661723,1661697,581,52.7999992
4819015,1661705,1661723,264,52.7999992
4819030,1661705,1661739,211,52.7999992
4819035,1661754,1661704,581,52.7999992
4819036,1661754,1661746,264,52.7999992
4819044,1661704,1661767,475,52.7999992
4819046,1661723,1661768,422,52.7999992
4819047,1661769,1661768,264,52.7999992
4819048,1661767,1661769,317,52.7999992
4819073,1661794,1661754,317,52.7999992
4819076,1661794,1661795,158,52.7999992
4819082,1661805,1661746,528,52.7999992
4819106,1661834,1661794,422,52.7999992
4819108,1661767,1661834,898,52.7999992
4819111,1661836,1661774,739,52.7999992
4819129,1661867,1661836,211,52.7999992
4819130,1661868,1661867,370,52.7999992
4819131,1661825,1661869,370,52.7999992
4819132,1661869,1661868,475,52.7999992
4819136,1661880,1661869,528,52.7999992
4819137,10464,1661744,950,52.7999992
4819138,1661884,1661805,739,52.7999992
4819139,1661884,1661880,686,52.7999992
4819140,1661768,1661878,898,52.7999992
4819145,1661887,1661805,739,52.7999992
4819146,1661887,1661884,475,52.7999992
4819148,1661882,1661769,898,52.7999992
4819149,1661886,1661834,317,52.7999992
4819150,1661886,1661887,370,52.7999992
4819151,1661882,1661886,528,52.7999992
4819161,1661851,1661837,264,52.7999992
4819162,1661851,1661838,581,52.7999992
4819166,1661936,1661868,317,52.7999992
4819167,1661936,1661939,370,52.7999992
4819168,1661939,1661867,370,52.7999992
4819169,1661869,1661942,264,52.7999992
4819170,1661942,1661936,528,52.7999992
4819172,1661838,1661879,264,52.7999992
4819177,1661908,1661906,53,52.7999992
4819178,1661942,1661950,53,52.7999992
4819184,1661880,1661959,686,52.7999992
4819185,1661959,1661950,422,52.7999992
4819186,1661904,1661851,264,52.7999992
4819187,1661907,1661904,264,52.7999992
4819197,1661952,1661940,950,52.7999992
4819198,1661801,1661952,1637,52.7999992
4819201,1661993,1661951,211,52.7999992
4819204,1661908,1661946,1901,52.7999992
4819205,1661945,1661908,211,52.7999992
4819209,1662004,1661936,317,52.7999992
4819210,1661950,1662004,739,52.7999992
4819222,1661965,1661945,898,52.7999992
4819224,1662019,1661927,528,52.7999992
4819225,1661966,1661970,158,52.7999992
4819226,1661970,1661965,158,52.7999992
4819229,1662023,1662019,158,52.7999992
4819232,1661969,1661904,475,52.7999992
4819240,1662036,1661993,370,52.7999992
4819241,1661978,1661974,317,52.7999992
4819243,1661974,1661977,158,52.7999992
4819250,1661984,1661978,264,52.7999992
4819251,1661974,1661984,1795,52.7999992
4819253,1661879,1661988,528,52.7999992
4819254,1661988,1661987,106,52.7999992
4819257,1662008,1661997,475,52.7999992
4819258,1661945,1662008,317,52.7999992
4819260,1662004,1662055,528,52.7999992
4819262,1662055,1662053,475,52.7999992
4819266,1661970,1662011,211,52.7999992
4819271,1662000,1661984,211,52.7999992
4819274,1662001,1662000,211,52.7999992
4819275,1662003,1662001,211,52.7999992
4819276,1661907,1662003,475,52.7999992
4819284,1662070,1662023,264,52.7999992
4819289,1662062,1661940,686,52.7999992
4819290,1661952,1662062,1320,52.7999992
4819291,1662075,1662070,317,52.7999992
4819297,1662068,1662016,422,52.7999992
4819298,1662042,1661969,422,52.7999992
4819299,1662040,1662042,317,52.7999992
4819301,1662044,1662040,317,52.7999992
4819302,1661988,1662044,370,52.7999992
4819304,1662036,1662091,475,52.7999992
4819306,1662055,1662096,370,52.7999992
4819308,1662093,1662096,581,52.7999992
4819309,1662096,1662098,211,52.7999992
4819310,1662098,1661939,950,52.7999992
4819311,1662091,1662036,1056,52.7999992
4819317,1662118,1661897,1267,52.7999992
4819320,1662117,1662057,370,52.7999992
4819321,1662118,1662117,317,52.7999992
4819322,1662119,1662054,370,52.7999992
4819323,1662117,1662119,317,52.7999992
4819324,1662066,1661965,845,52.7999992
4819325,1662113,1661993,792,52.7999992
4819329,1661940,1662068,1795,52.7999992
4819339,1662129,1662039,475,52.7999992
4819340,1662119,1662129,317,52.7999992
4819348,1662129,1662138,370,52.7999992
4819350,1662141,1662091,264,52.7999992
4819351,1662141,1662113,211,52.7999992
4819354,1662149,1662070,370,52.7999992
4819355,1662138,1662149,317,52.7999992
4819356,1662147,1662113,370,52.7999992
4819357,1662008,1662088,422,52.7999992
4819360,1662088,1662090,370,52.7999992
4819364,1662154,1662075,422,52.7999992
4819365,1662149,1662154,317,52.7999992
4819367,1662085,1662042,317,52.7999992
4819368,1662176,1661793,4699,52.7999992
4819369,1661969,1662085,1426,52.7999992
4819370,1662121,10503,211,52.7999992
4819371,1661949,1662145,1109,52.7999992
4819372,1662164,1662132,370,52.7999992
4819373,1662154,1662164,158,52.7999992
4819374,1662161,1662098,317,52.7999992
4819375,1662093,1662165,370,52.7999992
4819376,1662161,1662165,422,52.7999992
4819379,1662178,1662118,317,52.7999992
4819380,1662179,1662117,317,52.7999992
4819381,1662179,1662178,317,52.7999992
4819382,1662181,1662119,317,52.7999992
4819383,1662181,1662179,317,52.7999992
4819384,1662183,1662129,317,52.7999992
4819385,1662183,1662181,317,52.7999992
4819391,1662148,1662088,264,52.7999992
4819392,1662138,1662192,317,52.7999992
4819393,1662192,1662183,317,52.7999992
4819394,1662085,1662139,317,52.7999992
4819403,1662201,1662149,317,52.7999992
4819405,1662068,1662185,1214,52.7999992
4819406,1662187,1662062,686,52.7999992
4819407,1662185,1662187,581,52.7999992
4819408,1662206,1662181,211,52.7999992
4819410,1662209,1662154,264,52.7999992
4819412,1662208,1662132,686,52.7999992
4819421,1662139,1662166,264,52.7999992
4819422,1662044,1662166,686,52.7999992
4819426,1662225,1662164,317,52.7999992
4819431,1662186,1662090,475,52.7999992
4819434,1662191,1662186,317,52.7999992
4819437,1662239,1662208,264,52.7999992
4819438,1662164,1662239,634,52.7999992
4819440,1662244,1662161,950,52.7999992
4819441,1662251,1662239,158,52.7999992
4819446,1662165,1662252,686,52.7999992
4819447,1662252,1662161,581,52.7999992
4819449,1662224,1662186,211,52.7999992
4819450,1662090,1662224,792,52.7999992
4819452,1662220,1662217,898,52.7999992
4819453,1662166,1662220,317,52.7999992
4819456,1662187,1662270,845,52.7999992
4819457,1662270,1662246,528,52.7999992
