RDWY_LINK_ID,REF_SITE_FROM_ID,REF_SITE_TO_ID,LCM_FROM_TO_DIS,LOC_FLKOS_FT,LOC_TLKOS_FT,ST_PRMY_SYMB_TY,FNCT_CLS_CTGY_TYCD,FNCT_CLS_CTGY_TYDC
4818580,1661200,1660820,4066,0,1320,CTH,60,Urban Other Connecting Link Principal Arterial
4818580,1661200,1660820,4066,1320,2059,CTH,60,Urban Other Connecting Link Principal Arterial
4818580,1661200,1660820,4066,2059,2746,CTH,60,Urban Other Connecting Link Principal Arterial
4818580,1661200,1660820,4066,2746,3590,CTH,60,Urban Other Connecting Link Principal Arterial
4818580,1661200,1660820,4066,3590,4066,CTH,60,Urban Other Connecting Link Principal Arterial
4819008,1661678,1661705,158,0,158,,97,Urban Local
4819009,1661704,1661705,264,0,264,,97,Urban Local
4819014,1661723,1661697,581,0,581,,97,Urban Local
4819015,1661705,1661723,264,0,158,,97,Urban Local
4819015,1661705,1661723,264,158,264,,97,Urban Local
4819030,1661705,1661739,211,0,211,,97,Urban Local
4819035,1661754,1661704,581,0,422,,97,Urban Local
4819035,1661754,1661704,581,422,581,,97,Urban Local
4819036,1661754,1661746,264,0,264,,97,Urban Local
4819044,1661704,1661767,475,0,317,,97,Urban Local
4819044,1661704,1661767,475,317,475,,97,Urban Local
4819046,1661723,1661768,422,0,317,,97,Urban Local
4819046,1661723,1661768,422,317,422,,97,Urban Local
4819047,1661769,1661768,264,0,264,,97,Urban Local
4819048,1661767,1661769,317,0,317,,97,Urban Local
4819073,1661794,1661754,317,0,317,,97,Urban Local
4819076,1661794,1661795,158,0,158,,97,Urban Local
4819082,1661805,1661746,528,0,53,,86,Urban Minor Arterial
4819082,1661805,1661746,528,53,528,,86,Urban Minor Arterial
4819106,1661834,1661794,422,0,422,,97,Urban Local
4819108,1661767,1661834,898,0,581,,97,Urban Local
4819108,1661767,1661834,898,581,898,,97,Urban Local
4819111,1661836,1661774,739,0,739,,97,Urban Local
4819129,1661867,1661836,211,0,211,,97,Urban Local
4819130,1661868,1661867,370,0,370,,97,Urban Local
4819131,1661825,1661869,370,0,370,,97,Urban Local
4819132,1661869,1661868,475,0,475,,97,Urban Local
4819136,1661880,1661869,528,0,528,,97,Urban Local
4819137,10464,1661744,950,0,317,,86,Urban Minor Arterial
4819137,10464,1661744,950,317,950,,86,Urban Minor Arterial
4819138,1661884,1661805,739,0,739,,86,Urban Minor Arterial
4819139,1661884,1661880,686,0,686,,86,Urban Minor Arterial
4819140,1661768,1661878,898,0,898,,97,Urban Local
4819145,1661887,1661805,739,0,739,,97,Urban Local
4819146,1661887,1661884,475,0,475,,86,Urban Minor Arterial
4819148,1661882,1661769,898,0,898,,97,Urban Local
4819149,1661886,1661834,317,0,317,,97,Urban Local
4819150,1661886,1661887,370,0,370,,86,Urban Minor Arterial
4819151,1661882,1661886,528,0,106,,86,Urban Minor Arterial
4819151,1661882,1661886,528,106,264,,86,Urban Minor Arterial
4819151,1661882,1661886,528,264,528,,86,Urban Minor Arterial
4819161,1661851,1661837,264,0,264,,97,Urban Local
4819162,1661851,1661838,581,0,581,,97,Urban Local
4819166,1661936,1661868,317,0,317,,97,Urban Local
4819167,1661936,1661939,370,0,370,,97,Urban Local
4819168,1661939,1661867,370,0,370,,97,Urban Local
4819169,1661869,1661942,264,0,264,,97,Urban Local
4819170,1661942,1661936,528,0,528,,97,Urban Local
4819172,1661838,1661879,264,0,264,,97,Urban Local
4819177,1661908,1661906,53,0,53,,97,Urban Local
4819178,1661942,1661950,53,0,53,,97,Urban Local
4819184,1661880,1661959,686,0,686,,86,Urban Minor Arterial
4819185,1661959,1661950,422,0,422,,97,Urban Local
4819186,1661904,1661851,264,0,264,,97,Urban Local
4819187,1661907,1661904,264,0,264,,97,Urban Local
4819197,1661952,1661940,950,0,950,,97,Urban Local
4819198,1661801,1661952,1637,0,1320,,97,Urban Local
4819198,1661801,1661952,1637,1320,1637,,97,Urban Local
4819201,1661993,1661951,211,0,211,,97,Urban Local
4819204,1661908,1661946,1901,0,211,,96,Urban Collector
4819204,1661908,1661946,1901,211,1901,,96,Urban Collector
4819205,1661945,1661908,211,0,211,,96,Urban Collector
4819209,1662004,1661936,317,0,317,,97,Urban Local
4819210,1661950,1662004,739,0,211,,97,Urban Local
4819210,1661950,1662004,739,211,739,,97,Urban Local
4819222,1661965,1661945,898,0,528,,96,Urban Collector
4819222,1661965,1661945,898,528,898,,96,Urban Collector
4819224,1662019,1661927,528,0,528,,97,Urban Local
4819225,1661966,1661970,158,0,158,,96,Urban Collector
4819226,1661970,1661965,158,0,158,,96,Urban Collector
4819229,1662023,1662019,158,0,158,,97,Urban Local
4819232,1661969,1661904,475,0,475,,97,Urban Local
4819240,1662036,1661993,370,0,370,,97,Urban Local
4819241,1661978,1661974,317,0,317,,97,Urban Local
4819243,1661974,1661977,158,0,158,,97,Urban Local
4819250,1661984,1661978,264,0,264,,97,Urban Local
4819251,1661974,1661984,1795,0,581,,97,Urban Local
4819251,1661974,1661984,1795,581,1214,,97,Urban Local
4819251,1661974,1661984,1795,1214,1795,,97,Urban Local
4819253,1661879,1661988,528,0,528,,97,Urban Local
4819254,1661988,1661987,106,0,106,,97,Urban Local
4819257,1662008,1661997,475,0,475,,97,Urban Local
4819258,1661945,1662008,317,0,317,,97,Urban Local
4819260,1662004,1662055,528,0,211,,97,Urban Local
4819260,1662004,1662055,528,211,528,,97,Urban Local
4819262,1662055,1662053,475,0,475,,97,Urban Local
4819266,1661970,1662011,211,0,211,,97,Urban Local
4819271,1662000,1661984,211,0,211,,97,Urban Local
4819274,1662001,1662000,211,0,211,,97,Urban Local
4819275,1662003,1662001,211,0,211,,97,Urban Local
4819276,1661907,1662003,475,0,475,CTH,60,Urban Other Connecting Link Principal Arterial
4819284,1662070,1662023,264,0,264,,97,Urban Local
4819289,1662062,1661940,686,0,686,,97,Urban Local
4819290,1661952,1662062,1320,0,1320,,97,Urban Local
4819291,1662075,1662070,317,0,317,,97,Urban Local
4819297,1662068,1662016,422,0,422,,97,Urban Local
4819298,1662042,1661969,422,0,422,,97,Urban Local
4819299,1662040,1662042,317,0,317,,97,Urban Local
4819301,1662044,1662040,317,0,317,,97,Urban Local
4819302,1661988,1662044,370,0,370,,97,Urban Local
4819304,1662036,1662091,475,0,475,,97,Urban Local
4819306,1662055,1662096,370,0,370,,97,Urban Local
4819308,1662093,1662096,581,0,581,,97,Urban Local
4819309,1662096,1662098,211,0,211,,97,Urban Local
4819310,1662098,1661939,950,0,950,,97,Urban Local
4819311,1662091,1662036,1056,0,1056,,97,Urban Local
4819317,1662118,1661897,1267,0,1267,,97,Urban Local
4819320,1662117,1662057,370,0,370,,97,Urban Local
4819321,1662118,1662117,317,0,317,,97,Urban Local
4819322,1662119,1662054,370,0,370,,97,Urban Local
4819323,1662117,1662119,317,0,317,,97,Urban Local
4819324,1662066,1661965,845,0,845,,97,Urban Local
4819325,1662113,1661993,792,0,792,,97,Urban Local
4819329,1661940,1662068,1795,0,581,,97,Urban Local
4819329,1661940,1662068,1795,581,1795,,97,Urban Local
4819339,1662129,1662039,475,0,475,,97,Urban Local
4819340,1662119,1662129,317,0,317,,97,Urban Local
4819348,1662129,1662138,370,0,370,,97,Urban Local
4819350,1662141,1662091,264,0,264,,97,Urban Local
4819351,1662141,1662113,211,0,211,,97,Urban Local
4819354,1662149,1662070,370,0,370,,97,Urban Local
4819355,1662138,1662149,317,0,317,,97,Urban Local
4819356,1662147,1662113,370,0,370,,97,Urban Local
4819357,1662008,1662088,422,0,106,,97,Urban Local
4819357,1662008,1662088,422,106,422,,97,Urban Local
4819360,1662088,1662090,370,0,370,,97,Urban Local
4819364,1662154,1662075,422,0,422,,97,Urban Local
4819365,1662149,1662154,317,0,317,,97,Urban Local
4819367,1662085,1662042,317,0,317,,97,Urban Local
4819368,1662176,1661793,4699,0,2218,CTH,30,Rural Major Collector
4819368,1662176,1661793,4699,2218,2587,CTH,30,Rural Major Collector
4819368,1662176,1661793,4699,2587,2904,CTH,30,Rural Major Collector
4819368,1662176,1661793,4699,2904,4699,CTH,30,Rural Major Collector
4819369,1661969,1662085,1426,0,1426,,97,Urban Local
4819370,1662121,10503,211,0,211,,97,Urban Local
4819371,1661949,1662145,1109,0,1109,,97,Urban Local
4819372,1662164,1662132,370,0,370,,97,Urban Local
4819373,1662154,1662164,158,0,158,,97,Urban Local
4819374,1662161,1662098,317,0,317,,97,Urban Local
4819375,1662093,1662165,370,0,370,,86,Urban Minor Arterial
4819376,1662161,1662165,422,0,422,,97,Urban Local
4819379,1662178,1662118,317,0,317,,97,Urban Local
4819380,1662179,1662117,317,0,317,,97,Urban Local
4819381,1662179,1662178,317,0,317,USH,,
4819382,1662181,1662119,317,0,317,,97,Urban Local
4819383,1662181,1662179,317,0,317,USH,,
4819384,1662183,1662129,317,0,317,,97,Urban Local
4819385,1662183,1662181,317,0,317,USH,,
4819391,1662148,1662088,264,0,264,,97,Urban Local
4819392,1662138,1662192,317,0,317,,97,Urban Local
4819393,1662192,1662183,317,0,317,USH,,
4819394,1662085,1662139,317,0,317,,97,Urban Local
4819403,1662201,1662149,317,0,317,,97,Urban Local
4819405,1662068,1662185,1214,0,370,,97,Urban Local
4819405,1662068,1662185,1214,370,1214,,97,Urban Local
4819406,1662187,1662062,686,0,686,,97,Urban Local
4819407,1662185,1662187,581,0,581,,97,Urban Local
4819408,1662206,1662181,211,0,211,,97,Urban Local
4819410,1662209,1662154,264,0,264,,97,Urban Local
4819412,1662208,1662132,686,0,686,,97,Urban Local
4819421,1662139,1662166,264,0,264,,97,Urban Local
4819422,1662044,1662166,686,0,686,,97,Urban Local
4819426,1662225,1662164,317,0,317,,97,Urban Local
4819431,1662186,1662090,475,0,475,,97,Urban Local
4819434,1662191,1662186,317,0,317,,97,Urban Local
4819437,1662239,1662208,264,0,264,,97,Urban Local
4819438,1662164,1662239,634,0,634,,97,Urban Local
4819440,1662244,1662161,950,0,950,,97,Urban Local
4819441,1662251,1662239,158,0,158,,97,Urban Local
4819446,1662165,1662252,686,0,686,,86,Urban Minor Arterial
4819447,1662252,1662161,581,0,581,,97,Urban Local
4819449,1662224,1662186,211,0,211,,97,Urban Local
4819450,1662090,1662224,792,0,264,,97,Urban Local
4819450,1662090,1662224,792,264,792,,97,Urban Local
4819452,1662220,1662217,898,0,898,,97,Urban Local
4819453,1662166,1662220,317,0,317,,97,Urban Local
