WISLR_PTY_ID,WISLR_PTY_TYCD,WISLR_PTY_NM,RDWY_RTE_ID,SORT_NM,RDWY_LINK_ID,RWLK_STRT_OSET,RWLK_END_OSET,RWRL_SORT,BASC_RTE_FL,DIR_INDC
333,T,CROSS PLAINS,394349,AIRPORT RD,4840537,264,528,100,Y,>
333,T,CROSS PLAINS,394349,AIRPORT RD,5253200,0,132,200,Y,>
333,T,CROSS PLAINS,394349,AIRPORT RD,5253202,197,7762,300,Y,>
333,T,CROSS PLAINS,394349,AIRPORT RD,5253201,0,7565,400,N,<
333,T,CROSS PLAINS,394349,AIRPORT RD,5253199,185,317,500,N,<
333,T,CROSS PLAINS,394349,AIRPORT RD,4819151,0,264,600,N,<
333,T,CROSS PLAINS,394350,APPLEWOOD DR,4829434,0,422,1000,Y,>
333,T,CROSS PLAINS,394350,APPLEWOOD DR,4850819,0,422,2000,N,<
333,T,CROSS PLAINS,394351,BARLOW RD,4823740,0,10560,1000,Y,>
333,T,CROSS PLAINS,394351,BARLOW RD,4845126,0,10560,2000,N,<
333,T,CROSS PLAINS,394352,BIRCH TRL,4823838,0,3749,1000,Y,>
333,T,CROSS PLAINS,394352,BIRCH TRL,4845224,0,3749,2000,N,<
333,T,CROSS PLAINS,394353,BOLLIG DR,4827457,0,950,1000,Y,>
333,T,CROSS PLAINS,394353,BOLLIG DR,4848842,0,950,2000,N,<
333,T,CROSS PLAINS,394354,BOURBON RD,4840926,0,1214,100,Y,>
333,T,CROSS PLAINS,394354,BOURBON RD,4819540,528,1742,200,N,<
333,T,CROSS PLAINS,394355,BOWAR DR,4827428,0,475,1000,Y,>
333,T,CROSS PLAINS,394355,BOWAR DR,4848813,0,475,2000,N,<
333,T,CROSS PLAINS,394356,BRAUN RD (01),4827537,106,4963,1000,Y,>
333,T,CROSS PLAINS,394356,BRAUN RD (01),4821316,0,4066,2000,Y,>
333,T,CROSS PLAINS,394356,BRAUN RD (01),4842702,0,4066,3000,N,<
333,T,CROSS PLAINS,394356,BRAUN RD (01),4848922,0,4857,6000,N,<
333,T,CROSS PLAINS,394357,BURDSALL RD,4829427,0,739,1000,Y,>
333,T,CROSS PLAINS,394357,BURDSALL RD,4850812,0,739,2000,N,<
333,T,CROSS PLAINS,394358,BURR OAK TRL,4819762,0,634,1000,Y,>
333,T,CROSS PLAINS,394358,BURR OAK TRL,4819758,0,370,2000,Y,>
333,T,CROSS PLAINS,394358,BURR OAK TRL,4819757,0,211,3000,Y,>
333,T,CROSS PLAINS,394358,BURR OAK TRL,4841143,0,211,4000,N,<
333,T,CROSS PLAINS,394358,BURR OAK TRL,4841144,0,370,5000,N,<
333,T,CROSS PLAINS,394358,BURR OAK TRL,4841148,0,634,6000,N,<
333,T,CROSS PLAINS,394359,CTH J,4852215,634,898,1000,Y,>
333,T,CROSS PLAINS,394359,CTH J,4852204,0,4118,2000,Y,>
333,T,CROSS PLAINS,394359,CTH J,4846576,0,7339,3000,Y,>
333,T,CROSS PLAINS,394359,CTH J,4824879,0,4118,4000,Y,>
333,T,CROSS PLAINS,394359,CTH J,4824906,0,2376,5000,Y,>
333,T,CROSS PLAINS,394359,CTH J,4824908,0,12408,6000,Y,>
333,T,CROSS PLAINS,394359,CTH J,4824866,0,2693,7000,Y,>
333,T,CROSS PLAINS,394359,CTH J,4825071,0,2482,8000,Y,>
333,T,CROSS PLAINS,394359,CTH J,4826251,0,898,9000,Y,>
333,T,CROSS PLAINS,394359,CTH J,4847636,2640,3538,10000,N,<
333,T,CROSS PLAINS,394359,CTH J,4846457,0,2482,11000,N,<
333,T,CROSS PLAINS,394359,CTH J,4846252,0,2693,12000,N,<
333,T,CROSS PLAINS,394359,CTH J,4846294,0,12408,13000,N,<
333,T,CROSS PLAINS,394359,CTH J,4846292,0,2376,14000,N,<
333,T,CROSS PLAINS,394359,CTH J,4846265,0,4118,15000,N,<
333,T,CROSS PLAINS,394359,CTH J,4825190,0,7339,16000,N,<
333,T,CROSS PLAINS,394359,CTH J,4830819,0,4118,17000,N,<
333,T,CROSS PLAINS,394359,CTH J,4830830,0,264,18000,N,<
333,T,CROSS PLAINS,394360,CTH KP,4840754,1795,2112,100,Y,>
333,T,CROSS PLAINS,394360,CTH KP,4840754,2481,4699,200,Y,>
333,T,CROSS PLAINS,394360,CTH KP,4840849,0,2165,300,Y,>
333,T,CROSS PLAINS,394360,CTH KP,4840868,0,2693,400,Y,>
333,T,CROSS PLAINS,394360,CTH KP,4851817,0,1317,500,Y,>
333,T,CROSS PLAINS,394360,CTH KP,4851817,1904,2492,600,Y,>
333,T,CROSS PLAINS,394360,CTH KP,4851819,370,898,700,Y,>
333,T,CROSS PLAINS,394360,CTH KP,4840844,0,422,800,Y,>
333,T,CROSS PLAINS,394360,CTH KP,4850814,53,264,900,Y,>
333,T,CROSS PLAINS,394360,CTH KP,4850813,0,1267,1000,Y,>
333,T,CROSS PLAINS,394360,CTH KP,4829428,0,1267,1100,N,<
333,T,CROSS PLAINS,394360,CTH KP,4829429,0,211,1200,N,<
333,T,CROSS PLAINS,394360,CTH KP,4819458,370,792,1300,N,<
333,T,CROSS PLAINS,394360,CTH KP,4830434,0,528,1400,N,<
333,T,CROSS PLAINS,394360,CTH KP,4830432,1204,1792,1500,N,<
333,T,CROSS PLAINS,394360,CTH KP,4830432,2379,3696,1600,N,<
333,T,CROSS PLAINS,394360,CTH KP,4819482,0,2693,1700,N,<
333,T,CROSS PLAINS,394360,CTH KP,4819463,0,2165,1800,N,<
333,T,CROSS PLAINS,394360,CTH KP,4819368,0,2218,1900,N,<
333,T,CROSS PLAINS,394360,CTH KP,4819368,2587,2904,2000,N,<
333,T,CROSS PLAINS,394361,CTH P,4852252,1214,2323,100,Y,>
333,T,CROSS PLAINS,394361,CTH P,4846933,0,5491,200,Y,>
333,T,CROSS PLAINS,394361,CTH P,4846293,0,2693,300,Y,>
333,T,CROSS PLAINS,394361,CTH P,4824403,0,2693,400,Y,>
333,T,CROSS PLAINS,394361,CTH P,4823763,0,2746,500,Y,>
333,T,CROSS PLAINS,394361,CTH P,4844399,0,2587,600,Y,>
333,T,CROSS PLAINS,394361,CTH P,4848830,0,1848,700,Y,>
333,T,CROSS PLAINS,394361,CTH P,4848831,0,7022,800,Y,>
333,T,CROSS PLAINS,394361,CTH P,4841769,0,5121,900,Y,>
333,T,CROSS PLAINS,394361,CTH P,4820383,53,5174,1000,N,<
333,T,CROSS PLAINS,394361,CTH P,4827446,0,7022,1100,N,<
333,T,CROSS PLAINS,394361,CTH P,4827445,0,1848,1200,N,<
333,T,CROSS PLAINS,394361,CTH P,4823013,0,2587,1300,N,<
333,T,CROSS PLAINS,394361,CTH P,4845149,0,2746,1400,N,<
333,T,CROSS PLAINS,394361,CTH P,4845789,0,2693,1500,N,<
333,T,CROSS PLAINS,394361,CTH P,4824907,0,2693,1600,N,<
333,T,CROSS PLAINS,394361,CTH P,4825547,0,5491,1700,N,<
333,T,CROSS PLAINS,394361,CTH P,4830867,0,1109,1800,N,<
333,T,CROSS PLAINS,394362,CTH S,4852343,4540,5174,100,Y,>
333,T,CROSS PLAINS,394362,CTH S,4847034,0,1901,200,Y,>
333,T,CROSS PLAINS,394362,CTH S,5009931,0,435,300,Y,>
333,T,CROSS PLAINS,394362,CTH S,5009930,0,1835,400,Y,>
333,T,CROSS PLAINS,394362,CTH S,4827427,0,3485,500,Y,>
333,T,CROSS PLAINS,394362,CTH S,4827429,0,1214,600,Y,>
333,T,CROSS PLAINS,394362,CTH S,4827431,0,1320,700,Y,>
333,T,CROSS PLAINS,394362,CTH S,4827432,0,2059,800,Y,>
333,T,CROSS PLAINS,394362,CTH S,4845225,0,739,900,Y,>
333,T,CROSS PLAINS,394362,CTH S,4848820,0,1690,1000,Y,>
333,T,CROSS PLAINS,394362,CTH S,4848819,0,4224,1100,Y,>
333,T,CROSS PLAINS,394362,CTH S,4827434,0,4224,1200,N,<
333,T,CROSS PLAINS,394362,CTH S,4827435,0,1690,1300,N,<
333,T,CROSS PLAINS,394362,CTH S,4823839,0,739,1400,N,<
333,T,CROSS PLAINS,394362,CTH S,4848817,0,2059,1500,N,<
333,T,CROSS PLAINS,394362,CTH S,4848816,0,1320,1600,N,<
333,T,CROSS PLAINS,394362,CTH S,4848814,0,1214,1700,N,<
333,T,CROSS PLAINS,394362,CTH S,4848812,0,3485,1800,N,<
333,T,CROSS PLAINS,394362,CTH S,5009929,0,1835,1900,N,<
333,T,CROSS PLAINS,394362,CTH S,5009928,0,435,2000,N,<
333,T,CROSS PLAINS,394362,CTH S,4825649,0,1901,2100,N,<
333,T,CROSS PLAINS,394362,CTH S,4830958,0,634,2200,N,<
333,T,CROSS PLAINS,394363,CAMEL HILL RD,4827433,0,739,1000,Y,>
333,T,CROSS PLAINS,394363,CAMEL HILL RD,4848818,0,739,2000,N,<
333,T,CROSS PLAINS,394364,CELESTIAL CIR,4830394,0,1056,1000,Y,>
333,T,CROSS PLAINS,394364,CELESTIAL CIR,4851779,0,1056,2000,N,<
333,T,CROSS PLAINS,394365,CLEVELAND RD,4820859,0,1162,1000,Y,>
333,T,CROSS PLAINS,394365,CLEVELAND RD,4821616,0,3854,2000,Y,>
333,T,CROSS PLAINS,394365,CLEVELAND RD,4843002,0,3854,3000,N,<
333,T,CROSS PLAINS,394365,CLEVELAND RD,4842245,0,1162,4000,N,<
333,T,CROSS PLAINS,394366,COPUS RD,4827436,0,1795,1000,Y,>
333,T,CROSS PLAINS,394366,COPUS RD,4848821,0,1795,2000,N,<
333,T,CROSS PLAINS,394367,CORAY LN,4830850,1426,2851,1000,Y,>
333,T,CROSS PLAINS,394367,CORAY LN,4852235,898,2323,2000,N,<
333,T,CROSS PLAINS,394368,COWLING LN,4829432,0,475,1000,Y,>
333,T,CROSS PLAINS,394368,COWLING LN,4850817,0,475,2000,N,<
333,T,CROSS PLAINS,394369,COYLE LN,4827425,0,1742,1000,Y,>
333,T,CROSS PLAINS,394369,COYLE LN,4848810,0,1742,2000,N,<
333,T,CROSS PLAINS,394370,DEER RUN CT N,4820937,0,317,1000,Y,>
333,T,CROSS PLAINS,394370,DEER RUN CT N,4842323,0,317,2000,N,<
333,T,CROSS PLAINS,394371,DEER RUN CT S,4821019,0,317,1000,Y,>
333,T,CROSS PLAINS,394371,DEER RUN CT S,4842405,0,317,2000,N,<
333,T,CROSS PLAINS,394372,DEER RUN HTS RD,4821070,370,1426,1000,Y,>
333,T,CROSS PLAINS,394372,DEER RUN HTS RD,4820953,0,1214,2000,Y,>
333,T,CROSS PLAINS,394372,DEER RUN HTS RD,4842339,0,1214,3000,N,<
333,T,CROSS PLAINS,394372,DEER RUN HTS RD,4842456,0,1056,4000,N,<
333,T,CROSS PLAINS,394373,DOMINI RD,4825561,0,1690,1000,Y,>
333,T,CROSS PLAINS,394373,DOMINI RD,4825650,0,845,2000,Y,>
333,T,CROSS PLAINS,394373,DOMINI RD,4847035,0,845,3000,N,<
333,T,CROSS PLAINS,394373,DOMINI RD,4846947,0,1690,4000,N,<
333,T,CROSS PLAINS,394374,ENCHANTED VALLEY RD,4837226,3115,4171,1000,Y,>
333,T,CROSS PLAINS,394374,ENCHANTED VALLEY RD,4858609,1056,2112,2000,N,<
333,T,CROSS PLAINS,394375,FARRELL DR,4827430,0,950,1000,Y,>
333,T,CROSS PLAINS,394375,FARRELL DR,4848815,0,950,2000,N,<
333,T,CROSS PLAINS,394377,HOLLFELDER DR,4827444,0,422,1000,Y,>
333,T,CROSS PLAINS,394377,HOLLFELDER DR,4848829,0,422,2000,N,<
333,T,CROSS PLAINS,394378,HOWERY RD,4822123,0,1056,1000,Y,>
333,T,CROSS PLAINS,394378,HOWERY RD,4843509,3485,4541,2000,N,<
333,T,CROSS PLAINS,394379,JENNINGS RD,4825328,0,1690,1000,Y,>
333,T,CROSS PLAINS,394379,JENNINGS RD,4846714,0,1690,2000,N,<
333,T,CROSS PLAINS,394380,JIM GARFOOT CIR,4829426,0,1584,1000,Y,>
333,T,CROSS PLAINS,394380,JIM GARFOOT CIR,4850811,0,1584,2000,N,<
333,T,CROSS PLAINS,394381,KLEVINVILLE RILEY RD,4836005,1267,1426,1000,Y,>
333,T,CROSS PLAINS,394381,KLEVINVILLE RILEY RD,4857389,0,159,2000,N,<
333,T,CROSS PLAINS,394382,KRANTZ DR,4827426,0,686,1000,Y,>
333,T,CROSS PLAINS,394382,KRANTZ DR,4848811,0,686,2000,N,<
333,T,CROSS PLAINS,394383,LONE OAK CT,4827454,0,1109,1000,Y,>
333,T,CROSS PLAINS,394383,LONE OAK CT,4848839,0,1109,2000,N,<
333,T,CROSS PLAINS,394385,MAURER DR,4827422,0,2587,1000,Y,>
333,T,CROSS PLAINS,394385,MAURER DR,4848807,0,2587,2000,N,<
333,T,CROSS PLAINS,394386,MAURER RD,4827423,0,1954,1000,Y,>
333,T,CROSS PLAINS,394386,MAURER RD,4827424,0,2059,2000,Y,>
333,T,CROSS PLAINS,394386,MAURER RD,4848809,0,2059,3000,N,<
333,T,CROSS PLAINS,394386,MAURER RD,4848808,0,1954,4000,N,<
333,T,CROSS PLAINS,394389,MINERAL POINT RD W (02),4858657,370,6442,1000,Y,>
333,T,CROSS PLAINS,394389,MINERAL POINT RD W (02),4845125,0,686,2000,Y,>
333,T,CROSS PLAINS,394389,MINERAL POINT RD W (02),4874603,0,3062,3000,Y,>
333,T,CROSS PLAINS,394389,MINERAL POINT RD W (02),4874605,0,1531,4000,Y,>
333,T,CROSS PLAINS,394389,MINERAL POINT RD W (02),5032284,0,475,5333,Y,>
333,T,CROSS PLAINS,394389,MINERAL POINT RD W (02),5032285,0,1426,6666,Y,>
333,T,CROSS PLAINS,394389,MINERAL POINT RD W (02),4827441,0,5333,8000,Y,>
333,T,CROSS PLAINS,394389,MINERAL POINT RD W (02),4848826,0,5333,9000,N,<
333,T,CROSS PLAINS,394389,MINERAL POINT RD W (02),5032286,0,1426,9666,N,<
333,T,CROSS PLAINS,394389,MINERAL POINT RD W (02),5032287,0,475,10332,N,<
333,T,CROSS PLAINS,394389,MINERAL POINT RD W (02),4874604,0,1531,11000,N,<
333,T,CROSS PLAINS,394389,MINERAL POINT RD W (02),4874602,0,3062,12000,N,<
333,T,CROSS PLAINS,394389,MINERAL POINT RD W (02),4823739,0,686,13000,N,<
333,T,CROSS PLAINS,394389,MINERAL POINT RD W (02),4837274,0,6072,14000,N,<
333,T,CROSS PLAINS,394391,OAK VALLEY RD,4820153,0,422,1000,Y,>
333,T,CROSS PLAINS,394391,OAK VALLEY RD,4827453,0,1003,2000,Y,>
333,T,CROSS PLAINS,394391,OAK VALLEY RD,4827455,0,158,3000,Y,>
333,T,CROSS PLAINS,394391,OAK VALLEY RD,4848840,0,158,4000,N,<
